judgment_year,case_model,judgment_count,total_amount,mean_amount,median_amount,p90_amount,p99_amount,max_amount
1982,small_claims,1,2919.66,2919.66,2919.66,2919.66,2919.66,2919.66
1983,small_claims,4,8953.31,2238.3275,2255.51,3045.15,3066.03,3068.35
1984,small_claims,7,16580.81,2368.687142857143,2578.26,3050.09,3071.81,3074.23
1985,small_claims,12,18070.68,1505.89,1526.50,2930.40,3027.28,3027.44
1986,civil_general,1,6589.09,6589.09,6589.09,6589.09,6589.09,6589.09
1986,small_claims,13,10736.11,825.8546153846154,768.87,1512.00,1519.40,1520.00
1987,civil_general,4,76080.58,19020.145,5915.79,45743.55,60598.45,62249.00
1987,small_claims,15,13631.74,908.7826666666666,1243.45,1532.86,1534.35,1534.50
1987,writ_or_mandate,1,36596.56,36596.56,36596.56,36596.56,36596.56,36596.56
1988,civil_general,3,95801.61,31933.87,3642.64,74331.10,90236.00,92003.22
1988,small_claims,14,14628.14,1044.8671428571429,937.69,1539.00,2845.25,3040.00
1989,civil_general,2,174977.46,87488.73,87488.73,149720.77,163722.97,165278.78
1989,family_multi_order,1,46500.00,46500.0,46500.00,46500.00,46500.00,46500.00
1989,small_claims,40,40134.53,1003.36325,775.75,2012.20,2324.22,2475.90
1990,civil_general,1,77353.57,77353.57,77353.57,77353.57,77353.57,77353.57
1990,small_claims,185,206599.35,1116.7532432432433,992.85,2009.35,2232.94,5186.00
1991,small_claims,5953,7676989.66,1289.6001444649758,912.00,2719.01,5028.00,5583.00
1992,civil_general,558,4263549.73,7640.770125448029,2546.43,11077.94,39444.66,1150895.01
1992,small_claims,6057,8959485.82,1479.195281492488,1029.00,3454.64,5043.00,6407.65
1992,unlawful_detainer,42,215021.28,5119.5542857142855,3468.45,8553.82,24647.04,25372.50
1993,civil_general,3016,16444451.61,5452.4043799734745,3254.97,13080.12,25928.86,220102.21
1993,small_claims,5429,8125288.74,1496.645559034813,1040.50,3502.14,5045.00,6015.00
1993,unlawful_detainer,1169,3487158.65,2983.0270744225836,2000.00,5975.88,22043.09,27825.00
1993,writ_or_mandate,1,11000.00,11000.0,11000.00,11000.00,11000.00,11000.00
1994,civil_general,3456,21257939.94,6151.024288194444,3440.86,13889.34,27357.20,658404.58
1994,family_multi_order,1,13834.00,13834.0,13834.00,13834.00,13834.00,13834.00
1994,small_claims,5059,7957457.79,1572.9309725242142,1067.25,3850.31,5060.00,6795.00
1994,unlawful_detainer,1337,3968023.97,2967.856372475692,1982.00,5771.48,21153.04,26460.00
1995,civil_general,3293,18192871.90,5524.710567871242,3448.84,13436.75,26041.18,65393.14
1995,family_multi_order,1,3528.00,3528.0,3528.00,3528.00,3528.00,3528.00
1995,small_claims,4261,6998447.41,1642.442480638348,1187.32,3979.01,5067.49,6007.00
1995,unlawful_detainer,1322,3948189.20,2986.527382753404,1900.88,5997.95,20083.84,50936.50
1996,civil_general,3346,20998810.58,6275.795152420801,3707.98,13602.46,26535.03,1733825.72
1996,small_claims,4072,6708962.64,1647.5841453831042,1127.67,4095.44,5087.61,7021.00
1996,unlawful_detainer,1130,3501212.61,3098.418238938053,2025.60,6450.50,20315.25,54342.08
1997,civil_general,2979,18476768.32,6202.339147364887,4025.98,14279.37,27706.34,265682.08
1997,family_multi_order,1,500.00,500.0,500.00,500.00,500.00,500.00
1997,small_claims,3767,5919633.82,1571.4451340589328,1162.85,3631.37,5050.00,5771.00
1997,unlawful_detainer,1115,3709665.98,3327.0546905829597,1935.00,6637.35,25463.03,61929.86
1998,civil_general,2795,19863367.45,7106.7504293381035,4236.06,15969.19,30875.99,775623.55
1998,small_claims,3079,5251984.31,1705.7435238713867,1255.00,4027.71,5055.00,8193.50
1998,unlawful_detainer,984,3238754.04,3291.4167073170734,2074.39,6722.34,20267.99,75093.00
1999,civil_general,2799,18904019.46,6753.847609860664,4533.74,15110.25,28354.42,245600.00
1999,small_claims,2807,5009464.99,1784.633056644104,1364.18,4120.84,5059.94,8076.20
1999,unknown,1,7900.00,7900.0,7900.00,7900.00,7900.00,7900.00
1999,unlawful_detainer,706,2599145.75,3681.5095609065156,2266.24,7660.26,22942.18,86037.50
2000,civil_general,2959,18938150.96,6400.186198039878,4290.22,13769.04,28132.18,307249.04
2000,small_claims,2465,4940177.11,2004.128645030426,1545.20,4744.63,5083.72,7779.45
2000,unlawful_detainer,603,2463167.73,4084.8552736318406,2300.00,9397.06,29945.46,50803.62
2001,civil_general,2843,59519794.15,20935.558969398524,3905.61,16240.82,91192.38,17980750.00
2001,family_multi_order,1,4620.00,4620.0,4620.00,4620.00,4620.00,4620.00
2001,small_claims,2597,5476428.00,2108.751636503658,1645.00,5020.00,5095.00,10090.00
2001,unlawful_detainer,543,2645444.30,4871.904788213628,2654.96,8871.08,32531.27,204144.62
2001,writ_or_mandate,300,2164339.49,7214.464966666666,1348.12,9592.05,162383.74,319210.30
2002,civil_general,3429,581000815.79,169437.39159813357,9373.34,289153.87,2790143.99,39321907.55
2002,small_claims,2735,5226539.63,1910.983411334552,1464.21,4584.04,5094.66,8892.00
2002,unknown,1,8500.00,8500.0,8500.00,8500.00,8500.00,8500.00
2002,unlawful_detainer,583,6223715.82,10675.32730703259,2620.00,11590.13,119081.38,1727846.83
2002,writ_or_mandate,1219,50310222.41,41271.71649712879,1573.52,20106.40,412082.59,12662936.68
2003,civil_general,2837,357883438.86,126148.5508847374,6179.80,49026.00,675971.95,123917897.01
2003,small_claims,2613,5448195.89,2085.0347837734403,1552.00,4962.90,5121.88,251107.00
2003,unlawful_detainer,576,5662199.73,9830.207864583334,3109.54,12337.45,100427.31,775024.00
2003,writ_or_mandate,1050,89560324.03,85295.5466952381,1556.17,25142.45,1091570.49,22287057.00
2004,civil_general,3046,102793141.92,33746.92774786605,6425.02,34520.97,451734.97,9209861.02
2004,small_claims,2402,4599780.04,1914.9792006661116,1387.11,4821.99,5121.94,10140.40
2004,unlawful_detainer,581,4730331.65,8141.706798623064,2859.00,11363.00,99429.77,496020.50
2004,writ_or_mandate,413,39002207.49,94436.33774818401,9502.43,88312.77,1982417.31,8236126.60
2005,civil_general,3099,427287813.08,137879.2555921265,6344.82,32935.42,694990.55,295651220.00
2005,family_multi_order,1,12982.85,12982.85,12982.85,12982.85,12982.85,12982.85
2005,probate,2,2282070.00,1141035.0,1141035.00,1213807.00,1230180.70,1232000.00
2005,small_claims,2186,4308056.79,1970.7487602927722,1479.76,4999.99,5247.15,10096.15
2005,unknown,1,199225.44,199225.44,199225.44,199225.44,199225.44,199225.44
2005,unlawful_detainer,512,6384833.76,12470.3784375,2831.50,12146.64,95956.92,2393858.66
2005,writ_or_mandate,396,53665510.17,135518.9650757576,7576.20,67052.68,1878458.34,26908290.18
2006,civil_general,3550,145398400.77,40957.2959915493,6356.87,30152.35,379044.21,22634950.39
2006,probate,1,9278.02,9278.02,9278.02,9278.02,9278.02,9278.02
2006,small_claims,1912,4395827.28,2299.0728451882846,1682.11,5074.75,7605.00,10067.50
2006,unlawful_detainer,432,2722927.54,6303.073009259259,3086.24,13040.40,62530.85,111942.34
2006,writ_or_mandate,357,44453854.61,124520.60114845939,6882.83,52870.77,667885.37,30130784.00
2007,civil_general,3524,179871728.68,51041.920737797955,6057.06,32719.33,529739.29,28968713.12
2007,probate,2,4501025.02,2250512.51,2250512.51,3710922.51,4039514.76,4076025.02
2007,small_claims,1794,4101745.54,2286.368751393534,1610.69,5079.40,7630.00,10681.00
2007,unlawful_detainer,408,2456829.17,6021.64012254902,3241.93,12093.17,47828.29,86244.25
2007,writ_or_mandate,354,16179014.34,45703.43033898305,7052.36,67724.49,831248.54,2317405.73
2008,civil_general,3996,186474930.73,46665.398080580584,6088.03,35352.89,597446.50,22438826.00
2008,probate,2,1575692.89,787846.445,787846.44,1229569.28,1328956.92,1340000.00
2008,small_claims,1525,3661792.55,2401.175442622951,1800.00,5205.53,7634.38,9966.54
2008,unlawful_detainer,464,3491627.12,7525.058448275862,3211.34,13888.50,70119.66,317325.34
2008,writ_or_mandate,607,24874977.92,40980.19426688633,8781.45,45894.20,969615.24,2355482.70
2009,civil_general,3565,161973249.57,45434.29160448808,6530.80,46125.07,639270.19,21341973.22
