initial_judgment_year,case_model,judgment_count,total_amount,mean_amount,median_amount,p90_amount,p99_amount,max_amount
1930,civil_general,1,92003.22,92003.22,92003.22,92003.22,92003.22,92003.22
1980,civil_general,1,5412.19,5412.19,5412.19,5412.19,5412.19,5412.19
1982,small_claims,2,4476.09,2238.045,2238.04,2783.33,2906.02,2919.66
1983,small_claims,4,8953.31,2238.3275,2255.51,3045.15,3066.03,3068.35
1984,small_claims,6,14002.55,2333.758333333333,2704.67,3054.11,3072.21,3074.23
1985,small_claims,11,17288.72,1571.7018181818182,1527.00,3026.00,3027.29,3027.44
1986,civil_general,1,6589.09,6589.09,6589.09,6589.09,6589.09,6589.09
1986,small_claims,12,10034.85,836.2375,788.61,1513.50,1519.45,1520.00
1987,civil_general,4,76080.58,19020.145,5915.79,45743.55,60598.45,62249.00
1987,small_claims,15,12867.15,857.81,769.91,1528.00,1533.23,1533.44
1987,writ_or_mandate,1,36596.56,36596.56,36596.56,36596.56,36596.56,36596.56
1988,civil_general,2,3798.39,1899.195,1899.19,3293.95,3607.77,3642.64
1988,small_claims,12,12044.04,1003.67,868.02,1541.00,2875.22,3040.00
1989,civil_general,2,174977.46,87488.73,87488.73,149720.77,163722.97,165278.78
1989,family_multi_order,1,46500.00,46500.0,46500.00,46500.00,46500.00,46500.00
1989,small_claims,39,41678.89,1068.6894871794873,862.50,2016.00,2328.11,2475.90
1990,civil_general,2,166384.64,83192.32,83192.32,87863.32,88914.29,89031.07
1990,small_claims,201,223766.44,1113.2658706467662,1031.70,2010.25,2108.00,5186.00
1991,civil_general,4,476259.34,119064.835,101956.02,232991.21,252211.69,254347.30
1991,small_claims,5609,7229901.68,1288.9822927438047,898.15,2758.07,5028.00,5583.00
1992,civil_general,546,4483825.57,8212.134743589744,2487.31,11787.05,84893.65,1150895.01
1992,small_claims,5673,8250702.89,1454.3809078089193,1018.00,3337.00,5043.00,6407.65
1992,unlawful_detainer,57,295855.75,5190.451754385965,3197.20,8496.14,29696.43,35199.62
1992,writ_or_mandate,18,35353.69,1964.0938888888888,1777.54,3840.15,4093.46,4107.02
1993,civil_general,2875,15258727.24,5307.383387826087,3146.14,12832.36,25290.84,220102.21
1993,small_claims,4914,7246712.26,1474.7074196174196,1034.08,3445.00,5040.00,6015.00
1993,unlawful_detainer,1146,3453577.33,3013.5927835951134,2000.00,6090.49,22618.73,27825.00
1993,writ_or_mandate,1,11000.00,11000.0,11000.00,11000.00,11000.00,11000.00
1994,civil_general,3415,19512686.82,5713.817516837482,3330.67,13459.43,27126.98,658404.58
1994,family_multi_order,1,13834.00,13834.0,13834.00,13834.00,13834.00,13834.00
1994,small_claims,4618,7124661.39,1542.802379818103,1044.50,3803.15,5056.07,6795.00
1994,unlawful_detainer,1261,3714546.43,2945.7148532910387,1962.50,5800.00,18795.60,26460.00
1995,civil_general,3256,19276485.62,5920.296566339066,3356.79,13033.13,25854.73,1733825.72
1995,family_multi_order,1,3528.00,3528.0,3528.00,3528.00,3528.00,3528.00
1995,small_claims,3812,6198449.03,1626.0359470094438,1145.00,4015.00,5163.34,5680.00
1995,unlawful_detainer,1249,3829047.40,3065.690472377902,1944.50,6178.02,20180.44,50936.50
1996,civil_general,3330,18470938.76,5546.8284564564565,3626.52,12770.46,25262.49,132158.98
1996,small_claims,3534,5603843.41,1585.6942303338992,1100.00,3884.04,5065.00,7021.00
1996,unlawful_detainer,1038,3207611.05,3090.1840558766858,2079.08,6298.61,20122.89,54342.08
1997,civil_general,2825,16503315.22,5841.88149380531,3839.58,13538.30,25957.77,61292.49
1997,family_multi_order,1,500.00,500.0,500.00,500.00,500.00,500.00
1997,small_claims,3437,5240271.06,1524.6642595286587,1120.00,3523.40,5050.00,5771.00
1997,unlawful_detainer,1044,3535206.14,3386.212777777778,1946.59,6740.69,25698.28,61929.86
1998,civil_general,2754,18478111.86,6709.554052287582,4172.47,15215.80,28265.64,303050.22
1998,small_claims,2788,4670990.49,1675.3911370157819,1233.13,3986.17,5055.00,8193.50
1998,unlawful_detainer,914,3042702.53,3328.996203501094,2130.86,6981.40,20095.14,75093.00
1999,civil_general,2699,20588268.22,7628.109751759911,4449.06,13911.74,27397.96,2821501.43
1999,small_claims,2488,4319282.99,1736.0462178456592,1280.45,4020.00,5059.13,8076.20
1999,unknown,1,7900.00,7900.0,7900.00,7900.00,7900.00,7900.00
1999,unlawful_detainer,657,2391334.78,3639.77896499239,2200.00,7498.21,22544.43,86037.50
2000,civil_general,2737,16380995.02,5985.018275484107,4089.00,12624.19,25482.38,307249.04
2000,small_claims,2228,4386809.02,1968.944802513465,1526.00,4695.00,5078.92,6434.61
2000,unlawful_detainer,555,2269208.64,4088.664216216216,2285.37,9353.79,27125.58,50803.62
2001,civil_general,2555,49943864.75,19547.500880626223,3880.64,15619.47,137864.65,12491035.64
2001,family_multi_order,1,4620.00,4620.0,4620.00,4620.00,4620.00,4620.00
2001,small_claims,2383,5022424.30,2107.60566512799,1640.00,5020.00,5095.00,10090.00
2001,unknown,1,8500.00,8500.0,8500.00,8500.00,8500.00,8500.00
2001,unlawful_detainer,497,2676749.50,5385.813883299798,2750.00,9277.54,47333.99,204144.62
2001,writ_or_mandate,306,2939220.84,9605.296862745097,1392.45,9541.62,246748.36,703346.10
2002,civil_general,1892,73694113.42,38950.37707188161,6138.99,35000.00,590272.45,5500000.00
2002,small_claims,2556,4817736.03,1884.873251173709,1432.68,4550.85,5090.00,8892.00
2002,unlawful_detainer,523,5983217.45,11440.186328871892,2749.80,14581.40,110242.31,1727846.83
2002,writ_or_mandate,1218,47275311.00,38813.8842364532,1602.51,17762.34,340217.01,12662936.68
