initial_judgment_year,judgment_count,total_amount,mean_amount,median_amount,p75_amount,p90_amount,p95_amount,p99_amount,max_amount,fallback_year_count,review_required_count,mean_to_median_ratio,total_to_median_baseline_ratio,top10_share,top5_share,top1_share,largest_share,excluding_top1pct_total,excluding_largest_total,excluding_largest5_total,excluding_largest10_total
1930,1,92003.22,92003.22,92003.22,92003.22,92003.22,92003.22,92003.22,92003.22,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.00,0.00,0.00,0.00
1980,1,5412.19,5412.19,5412.19,5412.19,5412.19,5412.19,5412.19,5412.19,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.00,0.00,0.00,0.00
1982,2,4476.09,2238.045,2238.04,2578.85,2783.33,2851.49,2906.02,2919.66,0,0,1.0000022340976926,1.0000022340976926,0.6522791096693765,0.6522791096693765,0.6522791096693765,0.6522791096693765,1556.43,1556.43,0.00,0.00
1983,4,8953.31,2238.3275,2255.51,3010.35,3045.15,3056.75,3066.03,3068.35,0,0,0.9923819889958367,0.9923819889958367,0.3427056585776657,0.3427056585776657,0.3427056585776657,0.3427056585776657,5884.96,5884.96,0.00,0.00
1984,6,14002.55,2333.758333333333,2704.67,2983.58,3054.11,3064.17,3072.21,3074.23,0,0,0.862862505715423,0.862862505715423,0.21954786806688784,0.21954786806688784,0.21954786806688784,0.21954786806688784,10928.32,10928.32,632.98,0.00
1985,11,17288.72,1571.7018181818182,1527.00,1989.81,3026.00,3026.72,3027.29,3027.44,0,0,1.029274275168185,1.029274275168185,0.3501381247426067,0.17511070802234058,0.17511070802234058,0.17511070802234058,14261.28,14261.28,5718.66,64.83
1986,13,16623.94,1278.7646153846154,808.35,1500.00,1519.00,3547.63,5980.79,6589.09,0,0,1.5819442263680525,1.5819442263680528,0.48779591360411556,0.3963615123731198,0.3963615123731198,0.3963615123731198,10034.85,10034.85,4368.54,642.96
1987,20,125544.29,6277.2145,1314.64,1650.08,10167.41,37879.18,57375.03,62249.00,0,0,4.774854332745086,4.774854332745086,0.7873361663839908,0.4958329845188499,0.4958329845188499,0.4958329845188499,63295.29,63295.29,12867.15,5437.66
1988,14,15842.43,1131.6021428571428,868.02,1503.84,2590.60,3250.92,3564.29,3642.64,0,0,1.3036590664467902,1.3036590664467902,0.4218191274949613,0.22992937320852924,0.22992937320852924,0.22992937320852924,12199.79,12199.79,4666.42,493.75
1989,42,263156.35,6265.627380952381,931.52,1985.05,2082.35,9337.54,116579.48,165278.78,0,1,6.7262403179238035,6.726240317923803,0.8589584100858673,0.8416192883052224,0.6280630507301078,0.6280630507301078,97877.57,97877.57,37115.99,27017.93
