judgment_year,judgment_count,total_amount,mean_amount,median_amount,p75_amount,p90_amount,p95_amount,p99_amount,max_amount,fallback_year_count,review_required_count,mean_to_median_ratio,total_to_median_baseline_ratio,top10_share,top5_share,top1_share,largest_share,excluding_top1pct_total,excluding_largest_total,excluding_largest5_total,excluding_largest10_total
1982,1,2919.66,2919.66,2919.66,2919.66,2919.66,2919.66,2919.66,2919.66,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1983,4,8953.31,2238.3275,2255.51,3010.3525,3045.151,3056.7505,3066.0301,3068.35,0,0,0.9923819889958367,0.9923819889958367,0.3427056585776657,0.3427056585776657,0.3427056585776657,0.3427056585776657,5884.960000000001,5884.960000000001,0.0,0.0
1984,7,16580.809999999998,2368.6871428571426,2578.26,2933.17,3050.092,3062.161,3071.8161999999998,3074.23,0,0,0.9187153905568649,0.9187153905568649,0.185408915487241,0.185408915487241,0.185408915487241,0.185408915487241,13506.58,13506.58,2484.98,0.0
1985,12,18070.68,1505.89,1526.5,1949.715,2930.4,3026.648,3027.2816000000003,3027.44,0,0,0.9864985260399608,0.9864985260399607,0.334986840561617,0.16753326382847797,0.16753326382847797,0.16753326382847797,15043.239999999998,15043.239999999998,6500.62,592.24
1986,14,17325.2,1237.5142857142857,788.61,1407.8274999999999,1518.5,3294.1814999999983,5930.108299999996,6589.09,0,0,1.5692348381510324,1.5692348381510324,0.468051739662457,0.38031826472421676,0.38031826472421676,0.38031826472421676,10736.11,10736.11,5069.8,1199.06
1987,20,126308.88,6315.444,1421.025,1650.875,10167.412000000042,37879.182000000015,57375.03639999997,62249.0,0,0,4.444287750039584,4.444287750039584,0.7825701565875653,0.492831541218638,0.492831541218638,0.492831541218638,64059.87999999999,64059.87999999999,13631.74,5991.299999999999
1988,17,110429.75,6495.867647058823,980.63,1532.0,3281.056,21314.755999999936,77865.5272,92003.22,0,0,6.624177974423405,6.6241779744234055,0.8661240290773093,0.8331379904418873,0.8331379904418873,0.8331379904418873,18426.53,18426.53,8669.89,3159.0299999999997
1989,43,261611.98999999996,6083.999767441859,862.5,1626.125,2077.7000000000003,8976.401999999991,115391.6923999998,165278.78,0,0,7.053912773845634,7.053912773845634,0.8640290531026503,0.8465875742163042,0.6317706615816806,0.6317706615816806,96333.21,96333.21,35571.63,25496.699999999997
1990,186,283952.92000000004,1526.628602150538,992.925,1617.3925,2011.125,2034.375,3233.473500000013,77353.57,0,2,1.5375064603575679,1.5375064603575677,0.41568327594588567,0.3515740567133453,0.2906804761859818,0.2724168851653295,201413.35000000012,206599.3500000001,194353.44000000012,184122.4400000001
1991,5953,7676989.659999999,1289.6001444649755,912.0,1808.0,2719.0180000000014,4028.0,5028.0,5583.0,0,137,1.4140352461238768,1.4140352461238768,0.3128838211825857,0.18520858604360824,0.03953518937004795,0.0007272381815348179,7373478.420000001,7671406.659999998,7650804.419999997,7625392.419999996
1992,6657,13438056.830000011,2018.6355460417622,1122.89,2357.0,4000.0,5014.804,10330.200399999976,1150895.01,0,127,1.7977144208620275,1.7977144208620275,0.4456101381139935,0.33048518592996584,0.21379166916352427,0.08564445176557563,10565112.229999904,12287161.819999874,11673545.259999875,11501447.129999887
1993,9615,28067899.000000015,2919.178263130527,1585.0,3289.73,6273.486000000002,10547.287999999986,21812.424200000016,220102.21,0,150,1.8417528474009632,1.8417528474009632,0.43998752596337914,0.3015953773383607,0.0996676648294907,0.007841777184676341,25270437.049999908,27847796.789999954,27596411.119999945,27436124.439999945
1994,9853,33197255.70000002,3369.25359788897,1787.71,3712.54,7234.258000000013,12034.677999999996,24367.666399999995,658404.58,0,117,1.8846757012541016,1.8846757012541018,0.4605685502491698,0.3227094000423652,0.13011645778900924,0.0198331026501085,28877746.37999986,32538851.11999986,31477467.07999986,31252359.069999862
1995,8877,29143036.509999994,3282.982596597949,1870.1,3885.69,7375.616000000006,12152.311999999989,23310.716399999994,65393.14,0,141,1.7555117889941443,1.7555117889941443,0.4249204950126189,0.28235978729177413,0.08489429470230586,0.0022438684444416536,26668958.98000003,29077643.370000064,28903005.80000006,28725211.740000058
1996,8548,31208985.829999994,3651.027822882545,1950.12,4193.125,7959.0300000000025,12349.065999999993,23704.08360000001,1733825.72,0,107,1.87220674772965,1.87220674772965,0.4524749104927899,0.3181453801185568,0.13339917460560433,0.05555533683293676,27045732.88000005,29475160.11000002,29260290.71000002,29053504.880000014
1997,7862,28106568.119999997,3574.9895853472394,1926.81,4165.5824999999995,8120.471000000003,13167.431999999986,25115.406300000002,265682.08,0,102,1.8553928956914483,1.8553928956914485,0.4393099323717804,0.2952540133882414,0.0915087409113397,0.009452668816259594,25534571.46000004,27840886.040000077,27651890.90000007,27463058.730000075
1998,6858,28354105.800000023,4134.45695538058,2167.5249999999996,4638.91,9455.339000000005,14809.464999999991,25093.750000000007,775623.55,0,92,1.9074552567470184,1.9074552567470187,0.45616365831575595,0.31618431606472996,0.12931178101197596,0.027354893695854074,24687585.879999984,27578482.25000002,26855374.220000025,26485482.09000002
1999,6313,26520530.200000003,4200.939363218756,2526.0,5020.0,9694.144000000004,14643.586,25162.702,245600.0,0,76,1.6630797162386206,1.6630797162386206,0.41066782593961826,0.2707535726416209,0.08593586450997877,0.009260749998127864,24241465.509999942,26274930.199999943,25961245.849999946,25756645.269999947
2000,6027,26341495.800000012,4370.581682429071,2713.03,5045.415,9930.102,14537.643999999997,25177.578399999995,307249.04,0,67,1.6109595848291656,1.6109595848291656,0.3922545886707004,0.25764057901373977,0.08633419481060747,0.011664069585600368,24067323.969999894,26034246.759999838,25808770.49999984,25572060.579999853
2001,6284,69810625.94000001,11109.265744748569,2518.4849999999997,5026.0,10363.66,16570.47399999998,47446.80260000006,17980750.0,0,53,4.411090693313072,4.411090693313072,0.7699471067083227,0.7111946834951977,0.6261786814169337,0.25756465807159323,26096700.24000003,51829875.9400003,36757900.93999995,32667230.569999985
2002,7967,642769793.6500001,80679.02518513871,3061.74,9470.83,173200.0,278860.68799999985,1751263.4400000004,39321907.55,0,96,26.350710767452078,26.350710767452075,0.9111687748023031,0.7775135706239015,0.5372028878320642,0.06117572409043773,297472004.28999954,603447886.0999997,525302173.1699994,492808036.6299994
2003,7076,458554158.5100006,64804.14902628612,2724.2349999999997,6293.0025,20362.614999999998,51040.1525,398347.69,123917897.01,0,97,23.788017196125196,23.788017196125196,0.9481070924592195,0.9235931523032166,0.8495019890469591,0.2702361208818859,69011488.76999971,334636261.50000215,168041722.46000147,140226188.9399999
2004,6442,151125461.09999987,23459.400977957135,3411.005,7951.357499999999,20287.947000000007,45432.99149999998,330516.4074000011,9209861.02,0,90,6.87756276462718,6.87756276462718,0.8316048048769215,0.7693060138494441,0.5726046820313068,0.060941822463031724,64590314.49999978,141915600.08000013,118486714.81000014,104579587.97000006
2005,6197,494140492.0900005,79738.66259319034,3576.55,8107.03,20318.912000000022,41782.947999999895,390984.7375999999,295651220.0,0,100,22.29485470444712,22.294854704447115,0.9493423445544279,0.9318955175123128,0.8749817836649805,0.5983140923131461,61776562.93999971,198489272.0900016,143829289.91000113,118161504.34000006
2006,6252,196980288.22000012,31506.76395073578,4147.465,8784.4,19911.241,42541.18799999994,251873.64729999917,30130784.0,0,71,7.596631665544081,7.5966316655440815,0.860820323100651,0.8155222366239254,0.7004854326636638,0.15296344762349023,58998465.80000014,166849504.21999902,105656323.7000003,91336150.50000034
2007,6082,207110342.74999994,34052.99946563629,4013.3,8790.7575,21736.002000000004,48666.528499999986,380259.58189998893,28968713.12,0,112,8.48503711799175,8.48503711799175,0.8670958278349926,0.8211034478141731,0.6661148921303693,0.13987091487250222,69151059.13000043,178141629.62999877,128825453.63000013,110491477.42000012
2008,6594,220079021.20999998,33375.64774188656,4500.0,10151.6875,24797.802999999996,56584.54149999995,405066.6209999952,22438826.0,0,152,7.416810609308125,7.416810609308125,0.8473928804056597,0.7921054547659842,0.6277773292992194,0.10195804160083398,81918401.0399998,197640195.2099994,160316413.2099994,141552155.4200002
2009,5996,338298311.79999995,56420.66574382921,4569.785,10508.074999999999,29847.800000000003,76309.8075,575129.0585000035,32520620.87,0,199,12.346459569504738,12.34645956950474,0.9048039317174023,0.8619758874303669,0.7221790522100974,0.09613001228698419,93986357.62000003,305777690.9300003,216411138.1299999,178354250.5999997
2010,5680,386399773.75000036,68028.1291813381,4988.35,11191.630000000001,27873.204000000005,64926.610000000015,507308.41200000007,88650000.0,0,164,13.637400980552306,13.637400980552304,0.9182878443649701,0.8871345949642903,0.7836733063822087,0.22942560017479802,83588585.46999976,297749773.7499998,200284627.27999976,156731459.06999975
2011,4471,208374638.63000008,46605.82389398347,5119.0,10933.435000000001,27831.36,73843.51999999999,582276.6160000039,25000000.0,0,171,9.104478197691634,9.104478197691632,0.8797732493996835,0.8327062746733838,0.6613881105498328,0.1199762128652863,70558130.09999983,183374638.6299998,141789676.1999998,117743494.68999979
2012,4197,217047676.7099999,51714.95751965687,5195.33,10892.09,25455.800000000003,61309.45799999987,513569.4367999992,32461026.73,0,136,9.95412370718643,9.95412370718643,0.8920891011826215,0.8559500305466329,0.7188819562370892,0.14955712598283916,61016018.28,184586649.97999975,129045433.85999998,103636644.52999991
2013,4802,395751498.1799998,82413.88966680547,5394.3150000000005,11262.580000000002,25941.272000000004,68554.60699999987,661497.6780999978,144439820.0,0,169,15.277915669886807,15.277915669886807,0.9290021642641517,0.9046707295272429,0.8163905167657758,0.3649760535696175,72663728.07000005,251311678.17999965,151334689.33999905,127691634.44999963
2014,3426,143413314.97000003,41860.278741973154,5085.0,11678.7825,34885.770000000004,83100.0225,602800.115,27098192.97,0,129,8.232109880427366,8.232109880427366,0.8565168893536527,0.7942740914525839,0.6071637052543895,0.18895172303679436,56337955.269999996,116315121.99999993,94063872.60999992,84291491.58999997
2015,2869,873690713.2800012,304527.9586197285,5360.0,14634.95,38151.96400000002,101235.42599999995,1185075.7376000434,505093892.18,0,131,56.814917652934426,56.814917652934426,0.9771408381748472,0.9670551273208097,0.9243610159573459,0.5781152122858001,66085077.920000136,368596821.09999967,138762333.75999993,111899773.02999996
2016,3001,474012465.0900002,157951.50452849056,5162.19,13458.6,44993.36,149259.81,1386800.18,213254195.73,0,90,30.597770428537224,30.597770428537224,0.956777506291717,0.9321542422436209,0.8165778086584871,0.4498915354251489,86944405.07000032,260758269.35999984,184165413.8999999,138740108.99000013
2017,3239,389115603.65000015,120134.48707934552,5427.62,13169.119999999999,43013.860000000095,123015.78999999982,1374927.9007999955,41359724.0,0,119,22.133916353640366,22.133916353640366,0.9430153721618808,0.9133927758129358,0.7893723079948245,0.10629161003063256,81958521.52000001,347755879.64999986,233624277.27000076,161796067.9500007
2018,3454,704156229.9999996,203866.88766647354,5442.915,13962.9225,42144.811000000016,188558.141,2590790.229399942,66600291.84,0,137,37.45546047779059,37.45546047779059,0.9657904658743144,0.9438661620021465,0.8062478601375158,0.09458169792802947,136431776.3599999,637555938.1600015,479904994.78999925,367015415.46999925
