original_judgment_year,judgment_count,total_amount,mean_amount,median_amount,p75_amount,p90_amount,p95_amount,p99_amount,max_amount,fallback_year_count,review_required_count,mean_to_median_ratio,total_to_median_baseline_ratio,top10_share,top5_share,top1_share,largest_share,excluding_top1pct_total,excluding_largest_total,excluding_largest5_total,excluding_largest10_total
1980,1,5412.19,5412.19,5412.19,5412.19,5412.19,5412.19,5412.19,5412.19,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.00,0.00,0.00,0.00
1982,1,2919.66,2919.66,2919.66,2919.66,2919.66,2919.66,2919.66,2919.66,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.00,0.00,0.00,0.00
1983,4,8953.31,2238.3275,2255.51,3010.35,3045.15,3056.75,3066.03,3068.35,0,0,0.9923819889958367,0.9923819889958367,0.3427056585776657,0.3427056585776657,0.3427056585776657,0.3427056585776657,5884.96,5884.96,0.00,0.00
1984,7,16580.81,2368.687142857143,2578.26,2933.17,3050.09,3062.16,3071.81,3074.23,0,0,0.918715390556865,0.9187153905568651,0.18540891548724095,0.18540891548724095,0.18540891548724095,0.18540891548724095,13506.58,13506.58,2484.98,0.00
1985,12,18070.68,1505.89,1526.50,1949.71,2930.40,3026.64,3027.28,3027.44,0,0,0.9864985260399608,0.9864985260399607,0.3349868405616169,0.16753326382847797,0.16753326382847797,0.16753326382847797,15043.24,15043.24,6500.62,592.24
1986,14,17325.20,1237.5142857142857,788.61,1407.82,1518.50,3294.18,5930.10,6589.09,0,0,1.5692348381510324,1.5692348381510324,0.468051739662457,0.38031826472421676,0.38031826472421676,0.38031826472421676,10736.11,10736.11,5069.80,1199.06
1987,21,127078.79,6051.370952380952,1323.55,1534.50,7230.84,36596.56,57118.51,62249.00,0,0,4.57207582061951,4.57207582061951,0.834729383243262,0.7778289358908753,0.48984570910692493,0.48984570910692493,64829.79,64829.79,14401.65,6761.21
1988,17,18638.53,1096.384117647059,894.76,1419.37,2141.20,3160.52,3546.21,3642.64,0,0,1.225338769778554,1.2253387697785538,0.3585390049537169,0.19543601346243508,0.19543601346243508,0.19543601346243508,14995.89,14995.89,7462.52,2529.75
1989,47,270658.44,5758.690212765958,1026.00,2004.43,2073.20,7531.84,110640.54,165278.78,0,2,5.612758491974618,5.612758491974618,0.835149866377712,0.8182913490523333,0.6106544469849158,0.6106544469849158,105379.66,105379.66,44618.08,34454.08
1990,220,250943.02,1140.650090909091,1029.50,1591.86,2010.42,2028.07,2099.45,5186.00,0,9,1.1079651198728422,1.107965119872842,0.1944501584463278,0.10575870968636626,0.040578574371185935,0.020666046021124637,240760.11,245757.02,236636.11,226433.11
1991,5957,7788270.86,1307.4149504784286,928.00,1828.00,2797.83,4050.79,5028.00,5583.00,0,149,1.4088523173258929,1.408852317325893,0.31246918908518806,0.1837527104187026,0.03897741173321237,0.0007168471796061802,7484704.22,7782687.86,7762078.80,7736671.80
1992,6381,12113204.32,1898.3238238520607,1092.61,2289.00,3767.58,5008.00,5290.44,1150895.01,0,122,1.7374212425770046,1.7374212425770044,0.42742466181731176,0.3111776942271539,0.20479753618157412,0.09501160713517957,9632449.92,10962309.31,10348692.75,10180996.77
1993,8567,22511445.89,2627.692995214194,1515.00,3030.18,5101.00,8944.21,19413.41,220102.21,0,168,1.7344508219235604,1.7344508219235604,0.4224780916549114,0.2960347021938891,0.1024301184947121,0.009777346647368105,20205595.82,22291343.68,22103040.39,21959591.42
1994,9259,29272671.64,3161.537060157684,1722.00,3564.22,6583.27,11273.34,22827.39,500232.00,0,150,1.8359680953296655,1.8359680953296658,0.44707342093493996,0.3124994162644186,0.11843250737874911,0.01708870328448094,25805835.74,28772439.64,28141809.49,27961791.10
1995,8019,24738649.80,3085.0043396932288,1788.34,3636.91,6590.20,11048.35,22184.59,65393.14,0,127,1.7250658933386431,1.725065893338643,0.4201463610192663,0.2847427635278624,0.08745502836618027,0.0026433592992613523,22575130.48,24673256.66,24510925.11,24355654.29
1996,7512,23791570.66,3167.141994142705,1819.27,3775.30,6966.42,10964.19,22482.68,58547.79,0,105,1.740886176401911,1.7408861764019112,0.41866502520351045,0.2805976946794819,0.08593769823854076,0.002460862749950112,21746977.84,23733022.87,23541841.92,23386339.42
1997,6946,22906725.77,3297.829797005471,1765.00,3796.66,7276.76,11892.63,24475.76,265682.08,0,120,1.8684588085016833,1.868458808501683,0.4415026045863385,0.2999597676678346,0.09741854389869008,0.011598431075119124,20675185.90,22641043.69,22472180.04,22293443.73
1998,5868,21614470.66,3683.4476244035445,2000.00,4062.25,8292.91,13322.24,24824.22,185000.00,0,103,1.8417238122017723,1.8417238122017723,0.45094884317652767,0.3095730908822544,0.11258665957077849,0.008559080761684497,19180969.61,21429470.66,20912833.43,20599995.62
1999,5161,19233542.18,3726.708424723891,2199.00,4339.93,8073.73,12856.10,25010.87,245600.00,0,88,1.6947287061045433,1.6947287061045433,0.42645013660193093,0.29003231322624734,0.09565664622677422,0.012769358743257764,17393726.04,18987942.18,18703899.18,18537393.37
2000,4633,17477231.95,3772.3358407079645,2320.82,4530.00,8033.22,12537.65,25000.00,307249.04,0,69,1.62543232163975,1.62543232163975,0.4105681351903097,0.2783931908622406,0.09736014289150635,0.017579960080577862,15775646.15,17169982.91,16983791.13,16793098.32
2001,5180,48047509.46,9275.580976833977,2228.27,4709.95,8738.74,15161.92,50826.13,6402200.00,0,83,4.16268269861102,4.16268269861102,0.7592788569066448,0.6978049917012286,0.5974041429534691,0.13324728111724274,19343728.25,41645309.46,29408873.46,25404498.69
2002,5809,360798671.86,62110.28952659666,2281.57,5500.56,38383.78,214200.00,820773.25,39321907.55,0,82,27.2226096620295,27.222609662029505,0.9427689641329601,0.8487999813060065,0.6326241608465992,0.10898573253412085,132548714.84,321476764.31,249689378.60,228013163.99
2003,4808,380496996.78,79138.31047836939,2077.42,4863.71,15039.10,41947.83,322357.26,135125504.27,0,89,38.09451650526585,38.09451650526585,0.9703099923636671,0.9550270331834078,0.9033749564092947,0.3551289639958141,36765538.90,245371492.51,95449860.05,72510593.61
2004,3777,89506249.54,23697.709700820757,2374.50,5050.87,17414.59,46911.19,334627.77,9209861.02,0,74,9.980084102261847,9.980084102261848,0.8815236688555368,0.8217067537516665,0.6176511021757642,0.10289629011753137,34222615.86,80296388.52,62148043.24,52894314.92
2005,3227,141874927.93,43964.96062286954,2252.17,5032.00,15466.55,32805.64,433708.00,26908290.18,0,60,19.521155429150348,19.521155429150348,0.9406748350620995,0.915614586138102,0.8090142929738157,0.18966205356084018,27096083.42,114966637.75,59374378.84,46276559.29
2006,3245,158727177.25,48914.3843605547,2969.53,6108.48,16234.81,43355.40,347809.46,30130784.00,0,63,16.472096379075037,16.47209637907504,0.9351561982117967,0.9083445398447039,0.8161056899284083,0.18982750479171645,29189024.75,128596393.25,54788522.70,44372295.76
2007,3065,67291081.39,21954.67582055465,2753.00,6075.00,17433.46,45631.23,432697.69,4395380.63,0,114,7.974818678007501,7.974818678007501,0.8573421099541644,0.7951164768761045,0.5245993516645431,0.0653189180379733,31990223.72,62895700.76,51745039.57,45418488.56
2008,2898,83036207.77,28652.935738440305,3164.78,7585.00,20117.34,42742.83,304040.62,22438826.00,0,116,9.05368958930488,9.053689589304883,0.86775913755099,0.8199700620793415,0.6606568903285069,0.2702294168123955,28177764.96,60597381.77,47506709.14,40254067.02
