judgment_year,judgment_count,total_amount,mean_amount,median_amount,p75_amount,p90_amount,p95_amount,p99_amount,max_amount,fallback_year_count,review_required_count,mean_to_median_ratio,total_to_median_baseline_ratio,top10_share,top5_share,top1_share,largest_share,excluding_top1pct_total,excluding_largest_total,excluding_largest5_total,excluding_largest10_total
1982,1,2919.66,2919.66,2919.66,2919.66,2919.66,2919.66,2919.66,2919.66,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.00,0.00,0.00,0.00
1983,4,8953.31,2238.3275,2255.51,3010.35,3045.15,3056.75,3066.03,3068.35,0,0,0.9923819889958367,0.9923819889958367,0.3427056585776657,0.3427056585776657,0.3427056585776657,0.3427056585776657,5884.96,5884.96,0.00,0.00
1984,7,16580.81,2368.687142857143,2578.26,2933.17,3050.09,3062.16,3071.81,3074.23,0,0,0.918715390556865,0.9187153905568651,0.18540891548724095,0.18540891548724095,0.18540891548724095,0.18540891548724095,13506.58,13506.58,2484.98,0.00
1985,12,18070.68,1505.89,1526.50,1949.71,2930.40,3026.64,3027.28,3027.44,0,0,0.9864985260399608,0.9864985260399607,0.3349868405616169,0.16753326382847797,0.16753326382847797,0.16753326382847797,15043.24,15043.24,6500.62,592.24
1986,14,17325.20,1237.5142857142857,788.61,1407.82,1518.50,3294.18,5930.10,6589.09,0,0,1.5692348381510324,1.5692348381510324,0.468051739662457,0.38031826472421676,0.38031826472421676,0.38031826472421676,10736.11,10736.11,5069.80,1199.06
1987,20,126308.88,6315.444,1421.02,1650.87,10167.41,37879.18,57375.03,62249.00,0,0,4.444303387707421,4.444303387707421,0.7825701565875653,0.492831541218638,0.492831541218638,0.492831541218638,64059.88,64059.88,13631.74,5991.30
1988,17,110429.75,6495.867647058823,980.63,1532.00,3281.05,21314.75,77865.52,92003.22,0,0,6.624177974423405,6.6241779744234055,0.8661240290773093,0.8331379904418873,0.8331379904418873,0.8331379904418873,18426.53,18426.53,8669.89,3159.03
1989,43,261611.99,6083.99976744186,862.50,1626.12,2077.70,8976.40,115391.69,165278.78,0,0,7.053912773845635,7.053912773845635,0.8640290531026502,0.846587574216304,0.6317706615816806,0.6317706615816806,96333.21,96333.21,35571.63,25496.70
1990,186,283952.92,1526.6286021505377,992.92,1617.39,2011.12,2034.37,3233.47,77353.57,0,2,1.537514202705694,1.5375142027056938,0.41568327594588567,0.3515740567133453,0.29068047618598186,0.2724168851653296,201413.35,206599.35,194353.44,184122.44
1991,5953,7676989.66,1289.6001444649758,912.00,1808.00,2719.01,4028.00,5028.00,5583.00,0,137,1.414035246123877,1.4140352461238768,0.31288382118258573,0.18520858604360813,0.03953518937004794,0.0007272381815348179,7373478.42,7671406.66,7650804.42,7625392.42
1992,6657,13438056.83,2018.6355460417606,1122.89,2357.00,4000.00,5014.80,10330.20,1150895.01,0,127,1.797714420862026,1.7977144208620262,0.44561013811399397,0.330485185929966,0.21379166916352443,0.0856444517655757,10565112.23,12287161.82,11673545.26,11501447.13
1993,9615,28067899.00,2919.178263130525,1585.00,3289.73,6273.48,10547.28,21812.42,220102.21,0,150,1.8417528474009621,1.8417528474009623,0.439987525963379,0.3015953773383608,0.09966766482949081,0.007841777184676345,25270437.05,27847796.79,27596411.12,27436124.44
1994,9853,33197255.70,3369.2535978889678,1787.71,3712.54,7234.25,12034.67,24367.66,658404.58,0,117,1.8846757012541002,1.8846757012541004,0.46056855024917015,0.3227094000423656,0.13011645778900935,0.019833102650108514,28877746.38,32538851.12,31477467.08,31252359.07
1995,8877,29143036.51,3282.98259659795,1870.10,3885.69,7375.61,12152.31,23310.71,65393.14,0,141,1.7555117889941447,1.7555117889941447,0.424920495012618,0.28235978729177386,0.08489429470230588,0.0022438684444416527,26668958.98,29077643.37,28903005.80,28725211.74
1996,8548,31208985.83,3651.0278228825455,1950.12,4193.12,7959.03,12349.06,23704.08,1733825.72,0,107,1.8722067477296502,1.8722067477296502,0.45247491049279,0.31814538011855675,0.1333991746056043,0.05555533683293675,27045732.88,29475160.11,29260290.71,29053504.88
1997,7862,28106568.12,3574.98958534724,1926.81,4165.58,8120.47,13167.43,25115.40,265682.08,0,102,1.8553928956914485,1.8553928956914485,0.43930993237177896,0.2952540133882414,0.09150874091133969,0.009452668816259592,25534571.46,27840886.04,27651890.90,27463058.73
1998,6858,28354105.80,4134.456955380578,2167.52,4638.91,9455.33,14809.46,25093.75,775623.55,0,92,1.9074596568338829,1.9074596568338826,0.45616365831575617,0.31618431606473024,0.12931178101197605,0.027354893695854095,24687585.88,27578482.25,26855374.22,26485482.09
1999,6313,26520530.20,4200.939363218755,2526.00,5020.00,9694.14,14643.58,25162.70,245600.00,0,76,1.6630797162386202,1.6630797162386204,0.4106678259396187,0.27075357264162087,0.08593586450997877,0.009260749998127865,24241465.51,26274930.20,25961245.85,25756645.27
2000,6027,26341495.80,4370.58168242907,2713.03,5045.41,9930.10,14537.64,25177.57,307249.04,0,67,1.610959584829165,1.610959584829165,0.39225458867070107,0.25764057901374,0.08633419481060753,0.011664069585600373,24067323.97,26034246.76,25808770.50,25572060.58
2001,6284,69810625.94,11109.265744748567,2518.48,5026.00,10363.66,16570.47,47446.80,17980750.00,0,53,4.411099450759413,4.411099450759413,0.769947106708323,0.7111946834951987,0.6261786814169339,0.2575646580715933,26096700.24,51829875.94,36757900.94,32667230.57
2002,7967,642769793.65,80679.0251851387,3061.74,9470.83,173200.00,278860.68,1751263.44,39321907.55,0,96,26.35071076745207,26.35071076745207,0.9111687748023036,0.7775135706239018,0.5372028878320643,0.061175724090437734,297472004.29,603447886.10,525302173.17,492808036.63
2003,7076,458554158.51,64804.14902628604,2724.23,6293.00,20362.61,51040.15,398347.69,123917897.01,0,97,23.788060856200115,23.78806085620011,0.9481070924592191,0.9235931523032171,0.8495019890469601,0.2702361208818863,69011488.77,334636261.50,168041722.46,140226188.94
2004,6442,151125461.10,23459.400977957157,3411.00,7951.35,20287.94,45432.99,330516.40,9209861.02,0,90,6.877572846073631,6.877572846073631,0.8316048048769197,0.7693060138494426,0.572604682031306,0.060941822463031675,64590314.50,141915600.08,118486714.81,104579587.97
2005,6197,494140492.09,79738.66259319025,3576.55,8107.03,20318.91,41782.94,390984.73,295651220.00,0,100,22.294854704447093,22.29485470444709,0.9493423445544293,0.931895517512314,0.8749817836649817,0.5983140923131467,61776562.94,198489272.09,143829289.91,118161504.34
2006,6252,196980288.22,31506.763950735764,4147.46,8784.40,19911.24,42541.18,251873.64,30130784.00,0,71,7.596640823717592,7.596640823717592,0.8608203231006522,0.8155222366239261,0.7004854326636643,0.15296344762349035,58998465.80,166849504.22,105656323.70,91336150.50
2007,6082,207110342.75,34052.999465636305,4013.30,8790.75,21736.00,48666.52,380259.58,28968713.12,0,112,8.485037117991753,8.485037117991753,0.8670958278349911,0.8211034478141724,0.666114892130369,0.1398709148725022,69151059.13,178141629.63,128825453.63,110491477.42
2008,6594,220079021.21,33375.64774188656,4500.00,10151.68,24797.80,56584.54,405066.62,22438826.00,0,152,7.416810609308125,7.416810609308126,0.8473928804056589,0.7921054547659854,0.627777329299219,0.10195804160083397,81918401.04,197640195.21,160316413.21,141552155.42
