renewal_year,judgment_count,total_amount,mean_amount,median_amount,p75_amount,p90_amount,p95_amount,p99_amount,max_amount,fallback_year_count,review_required_count,mean_to_median_ratio,total_to_median_baseline_ratio,top10_share,top5_share,top1_share,largest_share,excluding_top1pct_total,excluding_largest_total,excluding_largest5_total,excluding_largest10_total
1989,1,404.00,404.0,404.00,404.00,404.00,404.00,404.00,404.00,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.00,0.00,0.00,0.00
1992,16,115607.54,7225.47125,6035.57,9188.65,14133.53,17664.17,22749.17,24020.42,0,0,1.1971481152567198,1.1971481152567198,0.3422427291507111,0.20777554820386282,0.20777554820386282,0.20777554820386282,91587.12,91587.12,44058.56,10873.97
1993,60,382219.69,6370.328166666666,4442.07,8999.40,15048.10,17622.51,22572.28,25150.10,0,0,1.434090000082544,1.434090000082544,0.2930878835676938,0.1666370196679297,0.06580011615832769,0.06580011615832769,357069.59,357069.59,285550.80,214199.93
1994,54,370072.22,6853.189259259259,4299.76,8598.07,16380.85,17455.67,27316.09,29997.00,0,0,1.5938539033014072,1.5938539033014072,0.334326824099361,0.1957016389935997,0.08105715149329502,0.08105715149329502,340075.22,340075.22,263086.51,187183.14
1995,75,524349.91,6991.332133333333,4969.04,7786.50,17657.83,24591.11,30037.02,33857.07,0,0,1.4069784371494964,1.4069784371494964,0.38160633993433885,0.22171410308814585,0.06456961154050736,0.06456961154050736,490492.84,490492.84,384131.82,291821.94
1996,82,819734.75,9996.765243902439,5914.13,15248.53,23835.44,32193.63,46922.90,51829.53,0,1,1.6903188201650012,1.6903188201650015,0.38280143668424454,0.24905398972045528,0.06322719635833421,0.06322719635833421,767905.22,767905.22,615576.54,482414.71
1997,95,817056.34,8600.593052631579,5159.23,8970.53,24410.88,33038.73,38338.04,40606.63,0,0,1.6670303616298516,1.6670303616298516,0.40494059442706243,0.23136577093325045,0.04969869030084265,0.04969869030084265,776449.71,776449.71,628017.47,486197.06
1998,67,742483.10,11081.837313432836,6525.53,15985.16,28109.22,37115.59,43006.17,45177.32,0,1,1.6982279314374213,1.6982279314374211,0.34903494773147026,0.22017507199827174,0.06084626033912422,0.06084626033912422,697305.78,697305.78,543006.67,407136.44
1999,81,760674.53,9391.043580246913,4840.95,12086.00,23655.96,32920.08,43992.57,48894.85,0,0,1.9399174914524862,1.9399174914524864,0.3958004746129728,0.26221641731582623,0.06427827943706751,0.06427827943706751,711779.68,711779.68,561213.18,436323.39
2000,92,1016124.94,11044.836304347826,6080.31,12219.98,28492.39,39123.40,56758.60,61018.80,0,0,1.8164923012721104,1.8164923012721104,0.4252362411260175,0.2655547850247628,0.060050489460479146,0.060050489460479146,955106.14,955106.14,746288.10,584031.79
2001,96,881325.08,9180.469583333334,4945.60,14074.83,21773.14,28178.68,49480.30,51330.58,0,0,1.856290355737086,1.8562903557370862,0.369613968094497,0.233956044913643,0.05824250457050423,0.05824250457050423,829994.50,829994.50,675133.75,555575.02
2002,124,17313480.97,139624.84653225806,5684.86,16805.60,191575.38,499726.12,3511193.70,4592857.37,0,3,24.560824106883558,24.560824106883555,0.9199552318565318,0.8208957669822073,0.5014543184610669,0.26527636920376046,8631561.17,12720623.60,4202254.78,2068715.55
2003,214,40364433.29,188618.8471495327,7168.73,19961.33,126071.76,433085.64,1229997.86,22287057.00,0,5,26.311333688049725,26.311333688049725,0.9324533298805048,0.8638326803571977,0.7044759279958667,0.5521459161801601,11928661.69,18077376.29,9516529.09,5935677.69
2004,206,10750385.31,52186.33645631068,7861.78,18626.98,56122.27,141814.62,529581.66,4386620.32,0,9,6.6379797522076025,6.6379797522076025,0.8263857177041034,0.7628294227158263,0.5773010818716413,0.40804307878337803,4544176.24,6363764.99,3863719.82,2703684.58
2005,276,23175447.58,83969.0129710145,7125.51,17788.85,68835.87,161298.74,2016727.23,6918126.56,0,8,11.784281121072667,11.784281121072665,0.8864583926193154,0.8149735009346473,0.5297883135856141,0.29851102275885366,10897366.29,16257321.02,7356880.66,5107393.72
2006,226,16073210.07,71120.39853982301,8281.46,17001.44,45644.80,81997.74,390369.30,9769224.60,0,7,8.587905820932905,8.587905820932905,0.8712210503698096,0.8340562713742968,0.7439257695211595,0.6077954905992217,4115934.90,6303985.47,3495418.23,2845509.02
