entry_year,event_rows,event_cases,operative_rows,operative_cases,operative_judgment_rows,operative_judgment_cases,judgment_money_mention_rows,judgment_total_rows,judgment_unassigned_money_rows,judgment_unassigned_money_cases,unclassified_money_rows,dollar_token_missed_rows,invalid_or_missing_year_rows,rule_versions,extraction_periods
2004,250076,62979,93440,46526,54528,28347,7244,7009,235,198,547,1,0,1,3
2005,244731,59821,89038,42957,51533,25909,6996,6584,412,402,752,0,0,1,3
2006,239257,55745,81180,38836,48188,23824,7051,6888,163,155,494,0,0,1,3
2007,244454,55079,80993,38626,47891,23731,6878,6750,128,126,496,0,0,1,4
2008,257488,57049,81041,40255,47025,25186,7396,7264,132,128,472,0,0,1,4
2009,251622,55962,82159,40235,49375,25521,7018,6866,152,147,488,0,0,1,3
2010,246367,60521,81649,43919,49049,29811,6405,6264,141,138,415,0,0,1,3
2011,223427,54425,71797,36642,39611,22396,5294,5114,180,171,290,1,0,1,3
2012,201550,50564,62212,34108,33358,20168,4801,4676,125,123,255,4,0,1,4
2013,197645,47995,61711,32924,32022,19106,5353,5221,132,126,283,2,0,1,4
