filing_year,summary_cases,any_extracted_event_cases,operative_event_cases,original_judgment_event_cases,original_amount_cases,recorded_amount_cases,recorded_only_cases,review_required_cases,case_models,extraction_periods,rule_versions
2004,30947,30947,28436,20649,3658,6544,2886,121,9,1,1
2005,31298,31298,28773,20903,3335,6411,3076,115,9,1,1
2006,29808,29808,27419,20052,3123,6443,3320,134,10,1,1
2007,30973,30973,28433,20995,3004,7019,4015,192,9,1,1
2008,32102,32102,29729,22356,2830,7411,4581,182,9,1,1
2009,30436,30436,28273,20880,2844,6149,3305,182,9,1,1
2010,30567,30567,27635,20369,2982,5734,2752,165,9,1,1
2011,28015,28015,25666,18446,2440,4632,2192,160,9,1,1
2012,25675,25675,23377,16064,2362,4368,2006,126,9,1,1
2013,24170,24170,22073,14677,1994,3861,1867,117,9,1,1
