entry_year,amount_format,judgment_rows,judgment_cases,parsed_mention_rows,total_amount_rows,unassigned_money_rows,unclassified_money_rows,median_total_amount
2004,no_recognized_amount_shape,47114,24412,0,0,0,0,
2004,dollar_symbol,7245,6899,7244,7009,235,547,3429.48
2004,bare_decimal,104,91,0,0,0,0,
2004,bare_comma_number,65,61,0,0,0,0,
2005,no_recognized_amount_shape,44378,22332,0,0,0,0,
2005,dollar_symbol,6996,6699,6996,6584,412,752,3542.64
2005,bare_decimal,96,92,0,0,0,0,
2005,bare_comma_number,62,55,0,0,0,0,
2005,amount_of_bare_integer,1,1,0,0,0,0,
2006,no_recognized_amount_shape,41035,20474,0,0,0,0,
2006,dollar_symbol,7051,6772,7051,6888,163,494,4091.32
2006,bare_decimal,75,59,0,0,0,0,
2006,bare_comma_number,27,27,0,0,0,0,
2007,no_recognized_amount_shape,39241,20150,0,0,0,0,
2007,dollar_symbol,6878,6646,6878,6750,128,496,3970.33
2007,bare_decimal,1743,1712,0,0,0,0,
2007,bare_comma_number,29,24,0,0,0,0,
2008,no_recognized_amount_shape,37817,21569,0,0,0,0,
2008,dollar_symbol,7396,7178,7396,7264,132,472,4445.29
2008,bare_decimal,1758,1747,0,0,0,0,
2008,bare_comma_number,54,48,0,0,0,0,
2009,no_recognized_amount_shape,40665,22123,0,0,0,0,
2009,dollar_symbol,7018,6693,7018,6866,152,488,4436.86
2009,bare_decimal,1658,1649,0,0,0,0,
2009,bare_comma_number,34,32,0,0,0,0,
2010,no_recognized_amount_shape,41031,26163,0,0,0,0,
2010,dollar_symbol,6405,6142,6405,6264,141,415,4808.02
2010,bare_decimal,1601,1593,0,0,0,0,
2010,bare_comma_number,11,11,0,0,0,0,
2010,amount_of_bare_decimal,1,1,0,0,0,0,
2011,no_recognized_amount_shape,32650,18960,0,0,0,0,
2011,dollar_symbol,5295,4974,5294,5114,180,290,5110.33
2011,bare_decimal,1661,1655,0,0,0,0,
2011,bare_comma_number,4,4,0,0,0,0,
2011,amount_of_bare_decimal,1,1,0,0,0,0,
2012,no_recognized_amount_shape,27019,17219,0,0,0,0,
2012,dollar_symbol,4805,4550,4801,4676,125,255,5191.92
2012,bare_decimal,1521,1517,0,0,0,0,
2012,bare_comma_number,11,9,0,0,0,0,
2012,amount_of_bare_integer,2,2,0,0,0,0,
2013,no_recognized_amount_shape,25280,16087,0,0,0,0,
2013,dollar_symbol,5354,5116,5352,5221,131,283,5316.87
2013,bare_decimal,1375,1370,0,0,0,0,
2013,bare_comma_number,12,11,0,0,0,0,
2013,number_plus_dollars_or_usd,1,1,1,0,1,0,
