entry_year,case_model,selected_original_rows,amount_rows,no_amount_rows,recorded_only_rows,unassigned_money_rows,median_original_amount
2004,civil_general,12049,646,11403,2503,20,10509.22
2004,small_claims,4234,2347,1887,83,82,1452.00
2004,criminal,2814,0,2814,0,1,
2004,unlawful_detainer,2559,359,2200,232,11,2832.66
2004,writ_or_mandate,685,425,260,4,21,9602.60
2004,family_multi_order,611,0,611,0,0,
2004,probate,38,0,38,2,1,
2004,appellate_review,10,0,10,0,0,
2004,family_domestic_violence,7,0,7,0,0,
2005,civil_general,10898,433,10465,2670,30,10702.74
2005,small_claims,3786,2088,1698,110,159,1510.00
2005,criminal,2356,0,2356,0,5,
2005,unlawful_detainer,2338,287,2051,212,10,2630.30
2005,family_multi_order,905,0,905,0,0,
2005,writ_or_mandate,711,418,293,4,121,7810.53
2005,probate,51,1,50,0,0,1050070.00
2005,family_domestic_violence,3,0,3,0,0,
2005,appellate_review,2,0,2,0,0,
2006,civil_general,11308,737,10571,3005,17,8538.98
2006,small_claims,3400,1876,1524,62,12,1770.22
2006,unlawful_detainer,2030,260,1770,164,5,3025.31
2006,criminal,1705,0,1705,0,5,
2006,family_multi_order,820,0,820,0,0,
2006,writ_or_mandate,597,372,225,5,87,6859.03
2006,probate,29,0,29,0,0,
2006,family_domestic_violence,4,0,4,0,0,
2006,appellate_review,1,0,1,0,0,
2007,civil_general,11820,561,11259,3245,13,9692.42
2007,small_claims,3436,1847,1589,38,12,1732.79
2007,unlawful_detainer,2089,248,1841,170,5,2972.73
2007,criminal,1554,0,1554,0,2,
2007,family_multi_order,697,0,697,0,0,
2007,writ_or_mandate,631,407,224,1,57,7215.62
2007,probate,24,2,22,0,0,2250512.51
2007,family_domestic_violence,6,0,6,0,0,
2008,civil_general,12706,504,12202,3752,16,8812.60
2008,small_claims,3118,1469,1649,127,10,1878.00
2008,unlawful_detainer,2050,279,1771,200,7,2911.52
2008,criminal,1616,0,1616,0,3,
2008,family_multi_order,1054,0,1054,0,0,
2008,writ_or_mandate,908,645,263,7,62,8616.68
2008,probate,25,1,24,0,0,1340000.00
2008,family_domestic_violence,5,0,5,0,0,
2009,civil_general,13150,487,12663,3500,16,10000.00
2009,small_claims,3884,1657,2227,141,17,2012.40
2009,unlawful_detainer,1734,169,1565,123,4,3250.71
2009,criminal,1551,0,1551,0,6,
2009,family_multi_order,1029,0,1029,0,0,
2009,writ_or_mandate,652,445,207,5,76,9095.35
2009,probate,25,1,24,0,0,110000.00
2009,family_domestic_violence,4,0,4,0,0,
2009,unknown,1,0,1,0,1,
2010,civil_general,13281,546,12735,2684,13,9020.88
2010,small_claims,3957,1588,2369,160,13,1879.87
2010,criminal,1930,0,1930,0,3,
2010,unlawful_detainer,1769,173,1596,119,3,3449.00
2010,writ_or_mandate,627,426,201,2,81,8380.10
2010,family_multi_order,533,0,533,0,0,
2010,probate,20,1,19,0,2,65000.00
2010,family_domestic_violence,2,0,2,0,0,
2011,civil_general,10893,860,10033,1784,11,7575.93
2011,small_claims,3407,1300,2107,134,3,2249.59
2011,unlawful_detainer,1901,144,1757,91,3,3410.00
2011,criminal,1724,0,1724,0,7,
2011,writ_or_mandate,696,463,233,4,117,8329.80
2011,family_multi_order,595,0,595,0,0,
2011,probate,17,0,17,0,3,
2011,family_domestic_violence,3,0,3,0,0,
2012,civil_general,10027,550,9477,2013,12,7870.04
2012,small_claims,3204,1201,2003,84,10,2180.00
2012,unlawful_detainer,1630,118,1512,82,9,2945.50
2012,criminal,1138,0,1138,0,5,
2012,writ_or_mandate,615,445,170,5,55,10000.00
2012,family_multi_order,457,0,457,0,0,
2012,probate,50,0,50,0,1,
2012,family_domestic_violence,6,0,6,0,0,
2013,civil_general,9747,706,9041,2290,7,7112.69
2013,small_claims,3105,1174,1931,114,11,2395.76
2013,criminal,1262,0,1262,0,3,
2013,unlawful_detainer,1200,73,1127,59,8,2990.00
2013,writ_or_mandate,527,347,180,6,60,10827.92
2013,family_multi_order,454,0,454,0,0,
2013,probate,50,1,49,0,0,553074.67
2013,family_domestic_violence,3,0,3,0,0,
