entry_year,selected_original_rows,selected_original_cases,selected_original_amount_rows,selected_original_no_amount_rows,recorded_only_rows,selected_unassigned_money_rows,selected_unclassified_money_rows,median_original_amount,case_models,source_fields,rule_versions,extraction_periods
2004,23007,23007,3777,19230,2824,136,113,2374.50,9,2,1,3
2005,21050,21050,3227,17823,2996,325,297,2252.17,9,2,1,3
2006,19894,19894,3245,16649,3236,126,91,2969.53,9,2,1,3
2007,20257,20257,3065,17192,3454,89,54,2753.00,8,2,1,3
2008,21482,21482,2898,18584,4086,98,61,3164.78,8,2,1,3
2009,22030,22030,2759,19271,3769,120,74,3180.00,9,2,1,3
2010,22119,22119,2734,19385,2965,115,81,3363.60,8,2,1,3
2011,19236,19236,2767,16469,2013,144,93,4424.72,8,2,1,3
2012,17127,17127,2314,14813,2184,92,46,3840.07,8,2,1,3
2013,16348,16348,2301,14047,2469,89,52,4106.00,8,2,1,3
