entry_year,filing_year,case_model,selected_original_rows,amount_rows,recorded_only_rows,median_original_amount
2006,2006,civil_general,5471,292,2007,7323.26
2006,2005,civil_general,4640,354,944,8090.42
2006,2006,small_claims,2744,1499,49,1805.00
2006,2006,unlawful_detainer,1566,167,133,3060.00
2006,2004,civil_general,716,57,44,17618.48
2006,2006,criminal,704,0,0,
2006,2005,small_claims,614,356,13,1552.00
2006,2005,criminal,606,0,0,
2006,2005,unlawful_detainer,392,86,23,2400.09
2006,2006,writ_or_mandate,389,295,3,6056.66
2006,2006,family_multi_order,283,0,0,
2006,2003,civil_general,233,21,8,61238.29
2006,2005,family_multi_order,217,0,0,
2006,2004,criminal,173,0,0,
2006,2005,writ_or_mandate,139,66,1,11046.40
2006,2003,family_multi_order,126,0,0,
2006,2002,civil_general,102,9,1,50572.61
2006,2004,family_multi_order,81,0,0,
2006,2003,criminal,70,0,0,
2006,2001,civil_general,66,2,1,80489.67
2006,2004,unlawful_detainer,45,6,5,6166.50
2006,,criminal,41,0,0,
2006,2002,family_multi_order,39,0,0,
2006,2002,criminal,32,0,0,
2006,2004,small_claims,30,16,0,2876.87
2006,2001,criminal,29,0,0,
2006,2004,writ_or_mandate,27,10,0,13247.04
2006,2000,criminal,17,0,0,
2006,2000,civil_general,16,0,0,
2006,2003,unlawful_detainer,15,1,1,21842.85
2006,2001,family_multi_order,14,0,0,
2006,1996,civil_general,13,0,0,
2006,1998,civil_general,13,0,0,
2006,2000,family_multi_order,12,0,0,
2006,2003,small_claims,11,4,0,3341.25
2006,2005,probate,10,0,0,
2006,1999,civil_general,10,2,0,276331.62
2006,1994,civil_general,9,0,0,
2006,2001,writ_or_mandate,9,0,0,
2006,2004,probate,9,0,0,
2006,1999,criminal,8,0,0,
2006,2002,writ_or_mandate,8,0,0,
2006,1998,family_multi_order,8,0,0,
2006,1999,family_multi_order,7,0,0,
2006,2003,writ_or_mandate,7,0,0,
2006,1997,family_multi_order,7,0,0,
2006,1997,writ_or_mandate,6,0,0,
2006,1997,criminal,6,0,0,
2006,1995,civil_general,6,0,0,
2006,1998,writ_or_mandate,6,0,0,
2006,1997,civil_general,5,0,0,
2006,1994,family_multi_order,5,0,0,
2006,2002,unlawful_detainer,5,0,1,
2006,1990,family_multi_order,5,0,0,
2006,1996,criminal,5,0,0,
2006,2001,unlawful_detainer,4,0,1,
2006,1991,family_multi_order,4,0,0,
2006,2006,family_domestic_violence,4,0,0,
2006,1993,family_multi_order,4,0,0,
2006,1998,criminal,4,0,0,
2006,2006,probate,3,0,0,
2006,1995,family_multi_order,3,0,0,
2006,1993,criminal,3,0,0,
2006,2000,writ_or_mandate,2,1,0,5770.00
2006,2000,unlawful_detainer,2,0,0,
2006,2002,probate,2,0,0,
2006,1992,family_multi_order,2,0,0,
2006,1996,writ_or_mandate,2,0,0,
2006,1995,criminal,2,0,0,
2006,1986,civil_general,2,0,0,
2006,1988,civil_general,2,0,0,
2006,1996,family_multi_order,2,0,0,
2006,1988,criminal,2,0,0,
2006,1993,civil_general,2,0,0,
2006,1991,civil_general,1,0,0,
2006,1987,civil_general,1,0,0,
2006,1994,criminal,1,0,0,
2006,1992,criminal,1,0,0,
2006,1987,family_multi_order,1,0,0,
2006,1988,probate,1,0,0,
2006,1999,writ_or_mandate,1,0,0,
2006,1988,writ_or_mandate,1,0,1,
2006,1999,probate,1,0,0,
2006,2003,probate,1,0,0,
2006,1998,unlawful_detainer,1,0,0,
2006,1997,probate,1,0,0,
2006,2004,appellate_review,1,0,0,
2006,2002,small_claims,1,1,0,1112.00
2006,1990,criminal,1,0,0,
2006,2000,probate,1,0,0,
2011,2010,civil_general,5413,573,1107,7550.58
2011,2011,civil_general,4021,192,524,7200.42
2011,2011,small_claims,2585,998,93,2181.72
2011,2011,unlawful_detainer,1450,89,72,3600.00
2011,2009,civil_general,1053,83,128,9798.14
2011,2011,criminal,805,0,0,
2011,2010,small_claims,776,291,39,2550.00
2011,2010,criminal,565,0,0,
2011,2011,writ_or_mandate,512,424,3,7765.45
2011,2010,unlawful_detainer,393,52,18,3236.00
2011,2008,civil_general,238,8,17,243340.77
2011,2010,family_multi_order,163,0,0,
2011,2011,family_multi_order,151,0,0,
2011,2006,criminal,130,0,0,
2011,2008,family_multi_order,106,0,0,
2011,2010,writ_or_mandate,103,29,1,64831.44
2011,2007,civil_general,81,1,3,61747.16
2011,2009,family_multi_order,81,0,0,
2011,2009,criminal,76,0,0,
2011,2007,family_multi_order,40,0,0,
2011,2009,unlawful_detainer,40,3,1,8869.00
2011,2006,civil_general,33,2,2,194044.62
2011,2007,criminal,33,0,0,
2011,2009,writ_or_mandate,30,6,0,19092.80
2011,2009,small_claims,27,6,1,5593.81
2011,2008,criminal,27,0,0,
2011,2005,criminal,23,0,0,
2011,,criminal,22,0,0,
2011,2005,civil_general,16,0,1,
2011,2006,writ_or_mandate,15,0,0,
2011,2008,writ_or_mandate,15,1,0,104549.50
2011,2008,small_claims,14,5,0,3350.22
2011,2004,civil_general,11,1,0,900.00
2011,2007,writ_or_mandate,11,0,0,
2011,2008,unlawful_detainer,11,0,0,
2011,2006,family_multi_order,10,0,0,
2011,2010,probate,10,0,0,
2011,1996,criminal,7,0,0,
2011,2004,family_multi_order,6,0,0,
2011,2004,criminal,6,0,0,
2011,1999,criminal,6,0,0,
2011,2002,family_multi_order,6,0,0,
2011,2002,criminal,6,0,0,
2011,2001,criminal,5,0,0,
2011,2000,family_multi_order,5,0,0,
2011,2005,family_multi_order,5,0,0,
2011,1996,civil_general,5,0,0,
2011,2003,criminal,4,0,0,
2011,2000,criminal,4,0,0,
2011,1999,civil_general,4,0,1,
2011,1993,family_multi_order,4,0,0,
2011,1995,civil_general,4,0,0,
2011,2000,civil_general,3,0,1,
2011,2007,unlawful_detainer,3,0,0,
2011,2003,family_multi_order,3,0,0,
2011,2006,unlawful_detainer,3,0,0,
2011,2007,probate,3,0,0,
2011,2012,writ_or_mandate,3,3,0,4473.98
2011,1999,family_multi_order,2,0,0,
2011,1998,family_multi_order,2,0,0,
2011,2009,family_domestic_violence,2,0,0,
2011,2011,probate,2,0,0,
2011,2007,small_claims,2,0,1,
2011,1995,criminal,2,0,0,
2011,2001,civil_general,2,0,0,
2011,2004,writ_or_mandate,2,0,0,
2011,2001,writ_or_mandate,2,0,0,
2011,1996,family_multi_order,2,0,0,
2011,2005,small_claims,2,0,0,
2011,1994,family_multi_order,2,0,0,
2011,2005,writ_or_mandate,2,0,0,
2011,2002,civil_general,2,0,0,
2011,1997,civil_general,2,0,0,
2011,2005,probate,1,0,0,
2011,1990,criminal,1,0,0,
2011,2011,family_domestic_violence,1,0,0,
2011,1990,family_multi_order,1,0,0,
2011,1992,probate,1,0,0,
2011,1980,family_multi_order,1,0,0,
