entry_year,extraction_period,rule_version,source_field,entry_date_source_field,case_model,event_kind,status,rule_id,event_rows,case_count,money_mention_rows,total_amount_rows,unassigned_money_rows,unclassified_money_rows,dollar_token_missed_rows
2006,legacy_2000_2013,2.9.1,description,date_filed,civil_general,judgment_reference,reference,sfsc.strict_judgment_end_state.unresolved_end_state_mention,3642,2832,1811,0,1811,56,0
2006,historical_pre_2000,2.9.1,description,date_filed,civil_general,judgment_reference,reference,sfsc.strict_judgment_end_state.unresolved_end_state_mention,449,360,352,0,352,2,0
2006,legacy_2000_2013,2.9.1,description,date_filed,probate,probate_appointment_order,operative,sfsc.strict_judgment_end_state.probate_fiduciary_appointed,780,547,351,0,351,350,0
2006,legacy_2000_2013,2.9.1,description,date_filed,civil_general,judgment_reference,reference,sfsc.strict_judgment_end_state.audited_judgment_cost_bill,265,244,265,0,265,0,0
2006,legacy_2000_2013,2.9.1,description,date_filed,small_claims,judgment_reference,reference,sfsc.strict_judgment_end_state.unresolved_end_state_mention,807,545,207,0,207,30,0
2006,legacy_2000_2013,2.9.1,description,date_filed,probate,probate_appointment_order,operative,sfsc.strict_judgment_end_state.probate_fiduciary_appointment_granted_observed,263,247,193,0,193,3,0
2006,legacy_2000_2013,2.9.1,description,date_filed,writ_or_mandate,judgment_reference,reference,sfsc.strict_judgment_end_state.audited_judgment_cost_bill,192,175,192,0,192,0,0
2006,historical_pre_2000,2.9.1,description,date_filed,civil_general,judgment_reference,reference,sfsc.strict_judgment_end_state.audited_judgment_cost_bill,154,143,154,0,154,0,0
2006,legacy_2000_2013,2.9.1,description,date_filed,probate,probate_letters_order,operative,sfsc.strict_judgment_end_state.probate_letters_granted_observed,581,575,130,0,130,2,0
2006,historical_pre_2000,2.9.1,description,date_filed,small_claims,probate_order_reference,reference,sfsc.strict_judgment_end_state.unresolved_end_state_mention,110,59,110,0,110,7,0
2006,legacy_2000_2013,2.9.1,description,date_filed,probate,probate_account_order,operative,sfsc.strict_judgment_end_state.probate_account_granted_observed,1160,1094,85,0,85,68,0
