entry_year,extraction_period,rule_version,source_field,case_model,event_kind,status,rule_id,review_reason_set,no_amount_rows,recorded_only_rows,money_mention_rows,component_amount_rows
2006,legacy_2000_2013,2.9.1,description,civil_general,dismissal,operative,sfsc.strict_judgment_end_state.dismissal_entered,,5240,2935,0,0
2006,legacy_2000_2013,2.9.1,description,unlawful_detainer,judgment,operative,sfsc.strict_judgment_end_state.judgment_entered,,129,72,2,2
2006,legacy_2000_2013,2.9.1,description,unlawful_detainer,judgment,operative,sfsc.strict_judgment_end_state.operative_adjudged_formula,,1040,59,0,0
2006,legacy_2000_2013,2.9.1,description,small_claims,judgment,operative,sfsc.strict_judgment_end_state.judgment_entered,,892,43,2,2
2006,legacy_2000_2013,2.9.1,description,civil_general,judgment,operative,sfsc.strict_judgment_end_state.judgment_entered,,188,28,5,5
2006,legacy_2000_2013,2.9.1,description,civil_general,take_nothing,operative,sfsc.strict_judgment_end_state.take_nothing_judgment,,91,20,1,1
2006,legacy_2000_2013,2.9.1,description,unlawful_detainer,dismissal,operative,sfsc.strict_judgment_end_state.dismissal_entered,,175,20,0,0
2006,legacy_2000_2013,2.9.1,description,civil_general,dismissal,operative,sfsc.strict_judgment_end_state.direct_case_dismissed,,351,9,0,0
2006,legacy_2000_2013,2.9.1,description,small_claims,dismissal,operative,sfsc.strict_judgment_end_state.dismissal_entered,,123,9,0,0
2006,legacy_2000_2013,2.9.1,description,civil_general,dismissal,operative,sfsc.strict_judgment_end_state.observed_whole_case_dismissal,,3769,6,0,0
2006,legacy_2000_2013,2.9.1,description,unlawful_detainer,possession,operative,sfsc.strict_judgment_end_state.observed_entered_possession_judgment,,73,4,0,0
2006,legacy_2000_2013,2.9.1,description,unlawful_detainer,dismissal,operative,sfsc.strict_judgment_end_state.direct_case_dismissed,,15,4,0,0
2006,legacy_2000_2013,2.9.1,description,small_claims,dismissal,operative,sfsc.strict_judgment_end_state.recorded_case_or_matter_dismissal,,54,3,0,0
