year,judgment_count,median_original_judgment,yoy_change_pct,centered_5y_peer_median,deviation_from_peer_median_pct,status
1980,1,5412.19,,,,exclude_low_coverage
1982,1,2919.66,,,,exclude_low_coverage
1983,4,2255.51,,,,exclude_low_coverage
1984,7,2578.26,,,,exclude_low_coverage
1985,12,1526.50,,,,exclude_low_coverage
1986,14,788.61,,,,exclude_low_coverage
1987,21,1323.55,,,,exclude_low_coverage
1988,17,894.76,,,,exclude_low_coverage
1989,47,1026.00,,,,exclude_low_coverage
1990,220,1029.50,,,,exclude_low_coverage
1991,5957,928.00,,1303.80,-28.82,investigate
1992,6381,1092.61,17.74,1515.00,-27.88,investigate
1993,8567,1515.00,38.66,1407.30,7.65,within_expected_band
1994,9259,1722.00,13.66,1651.67,4.26,within_expected_band
1995,8019,1788.34,3.85,1743.50,2.57,within_expected_band
1996,7512,1819.27,1.73,1776.67,2.40,within_expected_band
1997,6946,1765.00,-2.98,1909.63,-7.57,within_expected_band
1998,5868,2000.00,13.31,2009.13,-0.45,within_expected_band
1999,5161,2199.00,9.95,2114.14,4.01,within_expected_band
2000,4633,2320.82,5.54,2213.64,4.84,within_expected_band
2001,5180,2228.27,-3.99,2240.28,-0.54,within_expected_band
2002,5809,2281.57,2.39,2274.55,0.31,within_expected_band
2003,4808,2077.42,-8.95,2266.87,-8.36,within_expected_band
2004,3777,2374.50,14.30,2266.87,4.75,within_expected_band
2005,3227,2252.17,-5.15,2563.75,-12.15,within_expected_band
2006,3245,2969.53,31.85,2563.75,15.83,watch
2007,3065,2753.00,-7.29,3067.16,-10.24,within_expected_band
2008,2898,3164.78,14.96,3074.77,2.93,within_expected_band
2009,2759,3180.00,0.48,3264.19,-2.58,within_expected_band
2010,2734,3363.60,5.77,3510.03,-4.17,within_expected_band
2011,2767,4424.72,31.55,3601.84,22.85,investigate
2012,2314,3840.07,-13.21,3764.69,2.00,within_expected_band
2013,2301,4106.00,6.93,3907.36,5.08,within_expected_band
2014,1812,3423.38,-16.62,3907.36,-12.39,within_expected_band
2015,1749,3974.64,16.10,3511.69,13.18,within_expected_band
2016,1779,3157.38,-20.56,3511.69,-10.09,within_expected_band
2017,1803,3600.00,14.02,3539.16,1.72,within_expected_band
2018,1798,3306.80,-8.14,3685.76,-10.28,within_expected_band
2019,2181,3771.51,14.05,4157.50,-9.28,within_expected_band
2020,1011,4715.00,25.02,4621.78,2.02,within_expected_band
2021,1272,5600.78,18.79,5093.53,9.96,within_expected_band
2022,1113,5472.06,-2.30,5913.82,-7.47,within_expected_band
2023,1240,6556.88,19.82,5913.82,10.87,within_expected_band
2024,1410,6226.85,-5.03,6556.88,-5.03,within_expected_band
2025,1562,6854.94,10.09,6391.86,7.24,within_expected_band
2026,736,6446.71,,,,exclude_low_coverage
