event_year,case_model,extraction_period,source_field,amount_format_cohort,event_count
1988,civil_general,historical_pre_2000,description,no_amount_signal,4988
1988,small_claims,historical_pre_2000,description,no_amount_signal,338
1988,family_multi_order,historical_pre_2000,description,no_amount_signal,275
1988,writ_or_mandate,historical_pre_2000,description,no_amount_signal,222
1988,probate,historical_pre_2000,description,no_amount_signal,35
1988,unlawful_detainer,historical_pre_2000,description,no_amount_signal,30
1988,criminal,historical_pre_2000,description,no_amount_signal,10
1988,family_domestic_violence,historical_pre_2000,description,no_amount_signal,9
1988,civil_general,historical_pre_2000,description,recognized_money_but_no_total,3
1988,family_multi_order,historical_pre_2000,description,recognized_money_but_no_total,1
1988,probate,historical_pre_2000,description,recognized_money_but_no_total,1
1989,civil_general,historical_pre_2000,description,no_amount_signal,5411
1989,small_claims,historical_pre_2000,description,no_amount_signal,339
1989,family_multi_order,historical_pre_2000,description,no_amount_signal,311
1989,writ_or_mandate,historical_pre_2000,description,no_amount_signal,114
1989,appellate_review,historical_pre_2000,description,no_amount_signal,41
1989,criminal,historical_pre_2000,description,no_amount_signal,27
1989,probate,historical_pre_2000,description,no_amount_signal,19
1989,family_domestic_violence,historical_pre_2000,description,no_amount_signal,9
1989,civil_general,historical_pre_2000,description,recognized_money_but_no_total,7
1989,unlawful_detainer,historical_pre_2000,description,no_amount_signal,2
1989,appellate_review,historical_pre_2000,description,recognized_money_but_no_total,1
1989,criminal,historical_pre_2000,description,recognized_money_but_no_total,1
1990,civil_general,historical_pre_2000,description,no_amount_signal,5455
1990,family_multi_order,historical_pre_2000,description,no_amount_signal,748
1990,small_claims,historical_pre_2000,description,no_amount_signal,491
1990,writ_or_mandate,historical_pre_2000,description,no_amount_signal,135
1990,criminal,historical_pre_2000,description,no_amount_signal,35
1990,probate,historical_pre_2000,description,no_amount_signal,33
1990,civil_general,historical_pre_2000,description,recognized_money_but_no_total,13
1990,appellate_review,historical_pre_2000,description,no_amount_signal,8
1990,family_domestic_violence,historical_pre_2000,description,no_amount_signal,6
1990,unlawful_detainer,historical_pre_2000,description,no_amount_signal,3
1990,civil_general,historical_pre_2000,description,explicit_currency_not_recognized,1
1990,family_multi_order,historical_pre_2000,description,recognized_money_but_no_total,1
1990,small_claims,historical_pre_2000,description,recognized_money_but_no_total,1
1991,civil_general,historical_pre_2000,description,no_amount_signal,5350
1991,small_claims,historical_pre_2000,description,no_amount_signal,3837
1991,family_multi_order,historical_pre_2000,description,no_amount_signal,833
1991,writ_or_mandate,historical_pre_2000,description,no_amount_signal,162
1991,criminal,historical_pre_2000,description,no_amount_signal,44
1991,probate,historical_pre_2000,description,no_amount_signal,26
1991,family_domestic_violence,historical_pre_2000,description,no_amount_signal,22
1991,appellate_review,historical_pre_2000,description,no_amount_signal,11
1991,family_multi_order,historical_pre_2000,description,recognized_money_but_no_total,9
1991,small_claims,historical_pre_2000,description,recognized_money_but_no_total,6
1991,civil_general,historical_pre_2000,description,recognized_money_but_no_total,4
1991,unlawful_detainer,historical_pre_2000,description,no_amount_signal,2
1991,criminal,historical_pre_2000,description,recognized_money_but_no_total,1
1991,family_multi_order,legacy_2000_2013,description,no_amount_signal,1
1991,unknown,unknown_period,description,no_amount_signal,1
1992,civil_general,historical_pre_2000,description,no_amount_signal,6967
1992,small_claims,historical_pre_2000,description,no_amount_signal,4126
1992,family_multi_order,historical_pre_2000,description,no_amount_signal,1006
1992,unlawful_detainer,historical_pre_2000,description,no_amount_signal,210
1992,writ_or_mandate,historical_pre_2000,description,no_amount_signal,188
1992,criminal,historical_pre_2000,description,no_amount_signal,57
1992,probate,historical_pre_2000,description,no_amount_signal,27
1992,family_domestic_violence,historical_pre_2000,description,no_amount_signal,17
1992,small_claims,historical_pre_2000,description,recognized_money_but_no_total,15
1992,family_multi_order,historical_pre_2000,description,recognized_money_but_no_total,12
1992,appellate_review,historical_pre_2000,description,no_amount_signal,10
