event_year,case_model,event_kind,extraction_period,source_field,operative_event_count,parsed_total_count,recognized_money_event_count,recognized_money_without_total_count,explicit_currency_not_recognized_count,unmarked_numeric_context_count
1988,civil_general,judgment,historical_pre_2000,description,395,1,4,3,0,0
1988,small_claims,judgment,historical_pre_2000,description,333,1,1,0,0,0
1988,writ_or_mandate,judgment,historical_pre_2000,description,161,0,0,0,0,0
1988,family_multi_order,judgment,historical_pre_2000,description,20,0,1,1,0,0
1988,small_claims,monetary_judgment,historical_pre_2000,description,14,14,14,0,0,0
1988,civil_general,default_judgment,historical_pre_2000,description,13,0,0,0,0,0
1988,family_multi_order,default_judgment,historical_pre_2000,description,6,0,0,0,0,0
1988,unlawful_detainer,judgment,historical_pre_2000,description,6,0,0,0,0,0
1988,small_claims,amended_judgment,historical_pre_2000,description,4,0,0,0,0,0
1988,civil_general,possession,historical_pre_2000,description,3,0,0,0,0,0
1988,civil_general,monetary_judgment,historical_pre_2000,description,2,2,2,0,0,0
1988,unlawful_detainer,default_judgment,historical_pre_2000,description,2,0,0,0,0,0
1988,unlawful_detainer,possession,historical_pre_2000,description,2,0,0,0,0,0
1988,civil_general,amended_judgment,historical_pre_2000,description,1,0,0,0,0,0
1988,family_multi_order,declaratory/injunctive,historical_pre_2000,description,1,0,0,0,0,0
1989,civil_general,judgment,historical_pre_2000,description,420,0,7,7,0,0
1989,small_claims,judgment,historical_pre_2000,description,337,0,0,0,0,0
1989,writ_or_mandate,judgment,historical_pre_2000,description,67,0,0,0,0,0
1989,small_claims,monetary_judgment,historical_pre_2000,description,43,43,43,0,0,0
1989,civil_general,default_judgment,historical_pre_2000,description,31,0,1,1,0,0
1989,family_multi_order,judgment,historical_pre_2000,description,30,1,1,0,0,0
1989,appellate_review,judgment,historical_pre_2000,description,20,0,0,0,0,0
1989,family_multi_order,default_judgment,historical_pre_2000,description,3,0,0,0,0,0
1989,small_claims,amended_judgment,historical_pre_2000,description,3,0,0,0,0,0
1989,civil_general,monetary_judgment,historical_pre_2000,description,2,2,2,0,0,0
1989,writ_or_mandate,declaratory/injunctive,historical_pre_2000,description,2,0,0,0,0,0
1989,appellate_review,monetary_judgment,historical_pre_2000,description,1,0,1,1,0,0
1989,civil_general,amended_judgment,historical_pre_2000,description,1,0,0,0,0,0
1989,civil_general,declaratory/injunctive,historical_pre_2000,description,1,0,0,0,0,0
1989,civil_general,possession,historical_pre_2000,description,1,0,0,0,0,0
1989,family_multi_order,declaratory/injunctive,historical_pre_2000,description,1,0,0,0,0,0
1989,small_claims,monetary_judgment,legacy_2000_2013,description,1,1,1,0,0,0
1990,small_claims,judgment,historical_pre_2000,description,491,0,1,1,0,0
1990,civil_general,judgment,historical_pre_2000,description,305,0,8,8,1,0
1990,small_claims,monetary_judgment,historical_pre_2000,description,226,226,226,0,0,0
1990,writ_or_mandate,judgment,historical_pre_2000,description,63,0,0,0,0,0
1990,family_multi_order,judgment,historical_pre_2000,description,62,0,1,1,0,0
1990,civil_general,default_judgment,historical_pre_2000,description,17,0,3,3,0,0
1990,family_multi_order,default_judgment,historical_pre_2000,description,8,0,0,0,0,0
1990,civil_general,declaratory/injunctive,historical_pre_2000,description,2,0,0,0,0,0
1990,civil_general,monetary_judgment,historical_pre_2000,description,2,1,2,1,0,0
1990,civil_general,possession,historical_pre_2000,description,2,0,0,0,0,0
1990,civil_general,amended_judgment,historical_pre_2000,description,1,0,0,0,0,0
1990,probate,judgment,historical_pre_2000,description,1,0,0,0,0,0
1990,small_claims,take_nothing,historical_pre_2000,description,1,1,1,0,0,0
1990,unlawful_detainer,judgment,historical_pre_2000,description,1,0,0,0,0,0
1991,small_claims,monetary_judgment,historical_pre_2000,description,6297,6297,6297,0,0,0
1991,small_claims,judgment,historical_pre_2000,description,2543,0,6,6,0,0
1991,civil_general,judgment,historical_pre_2000,description,318,0,6,6,0,0
1991,writ_or_mandate,judgment,historical_pre_2000,description,70,0,0,0,0,0
1991,family_multi_order,judgment,historical_pre_2000,description,65,0,9,9,0,0
1991,small_claims,amended_judgment,historical_pre_2000,description,37,32,32,0,0,0
1991,civil_general,default_judgment,historical_pre_2000,description,23,0,0,0,0,0
1991,small_claims,take_nothing,historical_pre_2000,description,3,0,0,0,0,0
1991,civil_general,declaratory/injunctive,historical_pre_2000,description,2,0,0,0,0,0
1991,small_claims,possession,historical_pre_2000,description,2,0,1,1,0,0
1991,appellate_review,amended_judgment,historical_pre_2000,description,1,0,0,0,0,0
1991,appellate_review,declaratory/injunctive,historical_pre_2000,description,1,0,0,0,0,0
1991,probate,amended_judgment,historical_pre_2000,description,1,0,0,0,0,0
1991,probate,declaratory/injunctive,historical_pre_2000,description,1,0,0,0,0,0
1992,small_claims,monetary_judgment,historical_pre_2000,description,6490,6490,6490,0,0,0
1992,small_claims,judgment,historical_pre_2000,description,3005,0,18,18,0,0
1992,civil_general,judgment,historical_pre_2000,description,932,2,7,5,0,0
1992,civil_general,monetary_judgment,historical_pre_2000,description,569,569,569,0,0,0
1992,small_claims,amended_judgment,historical_pre_2000,description,418,340,350,10,0,0
1992,family_multi_order,judgment,historical_pre_2000,description,76,0,14,14,0,0
1992,writ_or_mandate,judgment,historical_pre_2000,description,68,0,0,0,0,0
1992,civil_general,default_judgment,historical_pre_2000,description,54,0,0,0,0,0
1992,unlawful_detainer,judgment,historical_pre_2000,description,54,0,0,0,0,0
1992,unlawful_detainer,possession,historical_pre_2000,description,25,24,24,0,0,0
1992,unlawful_detainer,amended_judgment,historical_pre_2000,description,22,22,22,0,0,0
1992,writ_or_mandate,monetary_judgment,historical_pre_2000,description,19,19,19,0,0,0
1992,small_claims,take_nothing,historical_pre_2000,description,5,3,3,0,0,0
1992,civil_general,possession,historical_pre_2000,description,3,0,0,0,0,0
1992,civil_general,amended_judgment,historical_pre_2000,description,2,0,1,1,0,0
1992,civil_general,declaratory/injunctive,historical_pre_2000,description,2,0,0,0,0,0
1992,family_multi_order,amended_judgment,historical_pre_2000,description,2,0,0,0,0,0
1992,small_claims,judgment,legacy_2000_2013,description,2,0,0,0,0,0
1992,unknown,judgment,historical_pre_2000,description,2,0,0,0,0,0
1992,family_multi_order,default_judgment,historical_pre_2000,description,1,0,0,0,0,0
1992,writ_or_mandate,default_judgment,historical_pre_2000,description,1,0,0,0,0,0
1993,small_claims,monetary_judgment,historical_pre_2000,description,5637,5637,5637,0,0,0
1993,small_claims,judgment,historical_pre_2000,description,3158,1,26,25,0,0
1993,civil_general,monetary_judgment,historical_pre_2000,description,3129,3121,3123,2,0,0
1993,unlawful_detainer,possession,historical_pre_2000,description,1628,1097,1178,81,0,0
1993,unlawful_detainer,judgment,historical_pre_2000,description,1530,1,19,18,0,0
1993,civil_general,judgment,historical_pre_2000,description,1176,0,4,4,0,0
1993,small_claims,amended_judgment,historical_pre_2000,description,612,495,534,39,0,0
1993,civil_general,default_judgment,historical_pre_2000,description,156,0,0,0,0,0
1993,writ_or_mandate,judgment,historical_pre_2000,description,92,0,0,0,0,0
1993,unlawful_detainer,amended_judgment,historical_pre_2000,description,89,86,86,0,0,0
1993,family_multi_order,judgment,historical_pre_2000,description,56,0,7,7,0,0
1993,civil_general,take_nothing,historical_pre_2000,description,50,13,15,2,0,0
1993,unlawful_detainer,monetary_judgment,historical_pre_2000,description,29,24,27,3,0,0
1993,unlawful_detainer,take_nothing,historical_pre_2000,description,29,4,8,4,0,0
1993,civil_general,amended_judgment,historical_pre_2000,description,9,5,5,0,0,0
1993,probate,judgment,historical_pre_2000,description,9,0,0,0,0,0
1993,civil_general,possession,historical_pre_2000,description,3,0,0,0,0,0
1993,small_claims,default_judgment,historical_pre_2000,description,2,0,0,0,0,0
1993,small_claims,take_nothing,historical_pre_2000,description,2,0,0,0,0,0
1993,unlawful_detainer,default_judgment,historical_pre_2000,description,2,0,0,0,0,0
1993,writ_or_mandate,default_judgment,historical_pre_2000,description,2,0,0,0,0,0
1993,civil_general,declaratory/injunctive,historical_pre_2000,description,1,0,0,0,0,0
1993,probate,amended_judgment,historical_pre_2000,description,1,0,0,0,0,0
1993,unlawful_detainer,declaratory/injunctive,historical_pre_2000,description,1,0,0,0,0,0
1993,writ_or_mandate,monetary_judgment,historical_pre_2000,description,1,1,1,0,0,0
1994,small_claims,monetary_judgment,historical_pre_2000,description,5291,5291,5291,0,0,0
1994,civil_general,monetary_judgment,historical_pre_2000,description,3573,3573,3573,0,0,0
1994,small_claims,judgment,historical_pre_2000,description,3103,0,35,35,0,0
1994,unlawful_detainer,possession,historical_pre_2000,description,1917,1303,1388,85,0,0
1994,unlawful_detainer,judgment,historical_pre_2000,description,1608,0,14,14,0,0
1994,small_claims,amended_judgment,historical_pre_2000,description,527,420,442,22,0,0
1994,civil_general,judgment,historical_pre_2000,description,508,2,18,16,0,0
1994,civil_general,take_nothing,historical_pre_2000,description,100,27,32,5,0,0
1994,writ_or_mandate,judgment,historical_pre_2000,description,93,0,1,1,0,0
1994,unlawful_detainer,amended_judgment,historical_pre_2000,description,76,68,68,0,0,0
1994,civil_general,default_judgment,historical_pre_2000,description,46,0,1,1,0,0
1994,family_multi_order,judgment,historical_pre_2000,description,46,0,12,12,0,0
1994,civil_general,amended_judgment,historical_pre_2000,description,26,21,23,2,0,0
1994,unlawful_detainer,take_nothing,historical_pre_2000,description,25,9,13,4,0,0
1994,unlawful_detainer,monetary_judgment,historical_pre_2000,description,8,3,5,2,0,0
1994,civil_general,possession,historical_pre_2000,description,4,1,1,0,0,0
1994,unlawful_detainer,default_judgment,historical_pre_2000,description,4,0,0,0,0,0
1994,probate,judgment,historical_pre_2000,description,2,0,0,0,0,0
1994,small_claims,default_judgment,historical_pre_2000,description,2,0,0,0,0,0
1994,small_claims,take_nothing,historical_pre_2000,description,2,0,0,0,0,0
1994,family_multi_order,monetary_judgment,historical_pre_2000,description,1,1,1,0,0,0
1994,small_claims,possession,historical_pre_2000,description,1,1,1,0,0,0
1994,writ_or_mandate,declaratory/injunctive,historical_pre_2000,description,1,0,0,0,0,0
1995,small_claims,monetary_judgment,historical_pre_2000,description,4454,4454,4454,0,0,0
1995,civil_general,monetary_judgment,historical_pre_2000,description,3379,3377,3378,1,0,0
1995,small_claims,judgment,historical_pre_2000,description,2610,0,11,11,0,0
1995,unlawful_detainer,possession,historical_pre_2000,description,1873,1298,1404,106,0,0
1995,unlawful_detainer,judgment,historical_pre_2000,description,1715,0,17,17,0,0
1995,small_claims,amended_judgment,historical_pre_2000,description,547,423,448,25,0,0
1995,civil_general,judgment,historical_pre_2000,description,454,3,15,12,0,0
1995,civil_general,take_nothing,historical_pre_2000,description,111,42,43,1,0,0
1995,writ_or_mandate,judgment,historical_pre_2000,description,62,0,1,1,0,0
1995,unlawful_detainer,amended_judgment,historical_pre_2000,description,55,42,45,3,0,0
1995,family_multi_order,judgment,historical_pre_2000,description,45,1,9,8,0,0
1995,unlawful_detainer,monetary_judgment,historical_pre_2000,description,44,18,21,3,0,0
1995,civil_general,default_judgment,historical_pre_2000,description,39,0,5,5,0,0
1995,unlawful_detainer,take_nothing,historical_pre_2000,description,35,13,20,7,0,0
1995,civil_general,amended_judgment,historical_pre_2000,description,23,20,20,0,0,0
1995,civil_general,possession,historical_pre_2000,description,9,0,0,0,0,0
1995,probate,judgment,historical_pre_2000,description,2,0,0,0,0,0
1995,family_multi_order,amended_judgment,historical_pre_2000,description,1,0,0,0,0,0
1995,unlawful_detainer,default_judgment,historical_pre_2000,description,1,0,1,1,0,0
1995,writ_or_mandate,amended_judgment,historical_pre_2000,description,1,0,0,0,0,0
1995,writ_or_mandate,judgment,legacy_2000_2013,description,1,0,0,0,0,0
1996,small_claims,monetary_judgment,historical_pre_2000,description,4102,4102,4102,0,0,0
1996,civil_general,monetary_judgment,historical_pre_2000,description,3478,3476,3477,1,0,0
1996,small_claims,judgment,historical_pre_2000,description,2596,0,11,11,0,0
1996,unlawful_detainer,possession,historical_pre_2000,description,1685,1109,1180,71,0,0
1996,unlawful_detainer,judgment,historical_pre_2000,description,1591,1,9,8,0,0
1996,small_claims,amended_judgment,historical_pre_2000,description,531,411,435,24,0,0
