event_year,case_model,selected_original_events,likely_monetary_events,parsed_total_count,recognized_money_without_total_count,explicit_currency_not_recognized_count,unmarked_numeric_context_count,parsed_total_pct_of_likely_monetary,median_parsed_total
1988,civil_general,4993,18,2,3,0,0,11.11,1899.19
1988,criminal,10,0,0,0,0,0,,
1988,family_domestic_violence,9,0,0,0,0,0,,
1988,family_multi_order,276,7,0,1,0,0,0.0,
1988,probate,36,1,0,1,0,0,0.0,
1988,small_claims,353,15,15,0,0,0,100.0,894.76
1988,unlawful_detainer,30,2,0,0,0,0,0.0,
1988,writ_or_mandate,222,0,0,0,0,0,,
1989,appellate_review,42,1,0,1,0,0,0.0,
1989,civil_general,5420,34,2,7,0,0,5.88,87488.73
1989,criminal,28,1,0,1,0,0,0.0,
1989,family_domestic_violence,9,0,0,0,0,0,,
1989,family_multi_order,312,4,1,0,0,0,25.0,46500.00
1989,probate,19,0,0,0,0,0,,
1989,small_claims,383,44,44,0,0,0,100.0,931.52
1989,unlawful_detainer,2,0,0,0,0,0,,
1989,writ_or_mandate,114,0,0,0,0,0,,
1990,appellate_review,8,0,0,0,0,0,,
1990,civil_general,5469,27,0,13,1,0,0.0,
1990,criminal,35,0,0,0,0,0,,
1990,family_domestic_violence,6,0,0,0,0,0,,
1990,family_multi_order,749,9,0,1,0,0,0.0,
1990,probate,33,0,0,0,0,0,,
1990,small_claims,712,221,220,1,0,0,99.55,1029.50
1990,unlawful_detainer,3,0,0,0,0,0,,
1990,writ_or_mandate,135,0,0,0,0,0,,
1991,appellate_review,11,1,0,0,0,0,0.0,
1991,civil_general,5354,24,0,4,0,0,0.0,
1991,criminal,45,1,0,1,0,0,0.0,
1991,family_domestic_violence,22,0,0,0,0,0,,
1991,family_multi_order,843,9,0,9,0,0,0.0,
1991,probate,26,1,0,0,0,0,0.0,
1991,small_claims,9800,5963,5957,6,0,0,99.9,928.00
1991,unknown,1,0,0,0,0,0,,
1991,unlawful_detainer,2,0,0,0,0,0,,
