event_year,selected_original_events,likely_monetary_events,parsed_total_count,recognized_money_event_count,recognized_money_without_total_count,explicit_currency_not_recognized_count,unmarked_numeric_context_count,parsed_total_pct_of_likely_monetary,median_parsed_total,represented_case_models,represented_extraction_periods,represented_source_fields
1988,5929,43,17,22,5,0,0,39.53,894.76,8,1,1
1989,6329,84,47,56,9,0,0,55.95,1026.00,9,2,1
1990,7150,257,220,235,15,1,0,85.6,1029.50,9,1,1
1991,16266,5999,5957,5977,20,0,0,99.3,928.00,10,3,1
1992,19027,6463,6381,6412,31,0,0,98.73,1092.61,10,2,1
1993,29320,8895,8567,8753,186,0,0,96.31,1515.00,10,3,2
1994,29260,9581,9259,9537,278,0,0,96.64,1722.00,10,2,2
1995,27507,8321,8019,8272,253,1,0,96.37,1788.34,10,3,2
1996,28259,7850,7512,7762,250,3,0,95.69,1819.27,10,3,2
1997,26706,7258,6946,7203,257,5,0,95.7,1765.00,9,3,2
1998,25112,6212,5868,6169,301,2,0,94.46,2000.00,10,3,2
1999,22509,5407,5161,5348,187,5,0,95.45,2199.00,10,2,2
2000,21494,4772,4633,4739,106,0,0,97.09,2320.82,9,3,2
2001,23948,5300,5180,5254,74,0,0,97.74,2228.27,10,3,2
2002,27549,5957,5809,5891,82,0,0,97.52,2281.57,10,3,2
2003,26154,4913,4808,4895,87,0,0,97.86,2077.42,9,3,2
2004,23007,3926,3777,3913,136,1,0,96.2,2374.50,9,3,2
2005,21050,3564,3227,3552,325,0,0,90.54,2252.17,9,3,2
2006,19894,3377,3245,3371,126,0,0,96.09,2969.53,9,3,2
2007,20257,3165,3065,3154,89,0,0,96.84,2753.00,8,3,2
2008,21482,3007,2898,2996,98,0,0,96.38,3164.78,8,3,2
2009,22030,2885,2759,2879,120,0,0,95.63,3180.00,9,3,2
2010,22119,2856,2734,2849,115,0,0,95.73,3363.60,8,3,2
2011,19236,2917,2767,2911,144,0,0,94.86,4424.72,8,3,2
2012,17127,2420,2314,2406,92,4,0,95.62,3840.07,8,3,2
2013,16348,2410,2301,2390,89,2,0,95.48,4106.00,8,3,2
2014,13674,1888,1812,1866,54,1,0,95.97,3423.38,8,4,2
