event_year,extraction_period,source_field,selected_original_events,likely_monetary_events,parsed_total_count,recognized_money_without_total_count,explicit_currency_not_recognized_count,unmarked_numeric_context_count,parsed_total_pct_of_likely_monetary
1988,historical_pre_2000,description,5929,43,17,5,0,0,39.53
1989,historical_pre_2000,description,6328,83,46,9,0,0,55.42
1989,legacy_2000_2013,description,1,1,1,0,0,0,100.0
1990,historical_pre_2000,description,7150,257,220,15,1,0,85.6
1991,historical_pre_2000,description,16264,5999,5957,20,0,0,99.3
1991,legacy_2000_2013,description,1,0,0,0,0,0,
1991,unknown_period,description,1,0,0,0,0,0,
1992,historical_pre_2000,description,19021,6463,6381,31,0,0,98.73
1992,legacy_2000_2013,description,6,0,0,0,0,0,
1993,historical_pre_2000,description,29312,8895,8567,186,0,0,96.31
1993,historical_pre_2000,docketEntryComment,4,0,0,0,0,0,
1993,legacy_2000_2013,description,3,0,0,0,0,0,
1993,unknown_period,description,1,0,0,0,0,0,
1994,historical_pre_2000,description,29255,9581,9259,278,0,0,96.64
1994,historical_pre_2000,docketEntryComment,2,0,0,0,0,0,
1994,unknown_period,description,3,0,0,0,0,0,
1995,historical_pre_2000,description,27495,8320,8019,252,1,0,96.38
1995,historical_pre_2000,docketEntryComment,8,1,0,1,0,0,0.0
1995,legacy_2000_2013,description,1,0,0,0,0,0,
1995,unknown_period,description,3,0,0,0,0,0,
1996,historical_pre_2000,description,28245,7850,7512,250,3,0,95.69
1996,historical_pre_2000,docketEntryComment,10,0,0,0,0,0,
1996,legacy_2000_2013,description,2,0,0,0,0,0,
1996,unknown_period,description,2,0,0,0,0,0,
1997,historical_pre_2000,description,26669,7254,6946,253,5,0,95.75
1997,historical_pre_2000,docketEntryComment,28,4,0,4,0,0,0.0
1997,legacy_2000_2013,description,1,0,0,0,0,0,
1997,unknown_period,description,8,0,0,0,0,0,
1998,historical_pre_2000,description,25092,6212,5868,301,2,0,94.46
1998,historical_pre_2000,docketEntryComment,4,0,0,0,0,0,
1998,legacy_2000_2013,description,3,0,0,0,0,0,
1998,unknown_period,description,13,0,0,0,0,0,
1999,historical_pre_2000,description,22481,5403,5160,184,5,0,95.5
1999,historical_pre_2000,docketEntryComment,19,2,0,2,0,0,0.0
1999,unknown_period,description,9,2,1,1,0,0,50.0
2000,historical_pre_2000,description,8444,1130,1050,55,0,0,92.92
2000,historical_pre_2000,docketEntryComment,6,0,0,0,0,0,
