event_year,filing_year,case_model,selected_original_events,parsed_total_count,median_parsed_total
1991,1991,small_claims,8673,5290,960.44
1991,1990,civil_general,1845,0,
1991,1990,small_claims,1108,656,751.25
1991,1991,civil_general,1053,0,
1991,1989,civil_general,906,0,
1991,1988,civil_general,509,0,
1991,1987,civil_general,427,0,
1991,1986,civil_general,269,0,
1991,1990,family_multi_order,268,0,
1991,1991,family_multi_order,251,0,
1991,1988,family_multi_order,201,0,
1991,1985,civil_general,166,0,
1991,1984,civil_general,78,0,
1991,1991,writ_or_mandate,76,0,
1991,1989,family_multi_order,64,0,
1991,1983,civil_general,56,0,
1991,1987,family_multi_order,53,0,
1991,1990,writ_or_mandate,49,0,
1991,1991,criminal,32,0,
1991,1989,small_claims,17,10,645.95
1991,1989,writ_or_mandate,17,0,
1991,1991,family_domestic_violence,17,0,
1991,1982,civil_general,16,0,
1991,1990,criminal,13,0,
1991,1981,civil_general,12,0,
1991,1987,writ_or_mandate,9,0,
1991,1990,probate,9,0,
1991,1991,probate,9,0,
1991,1980,civil_general,7,0,
1991,1988,writ_or_mandate,6,0,
1991,1991,appellate_review,6,0,
1991,1979,civil_general,5,0,
1991,1990,appellate_review,5,0,
1991,1989,probate,4,0,
1991,1978,civil_general,3,0,
1991,1984,family_multi_order,3,0,
1991,1985,writ_or_mandate,3,0,
1991,1990,family_domestic_violence,3,0,
1991,1988,probate,2,0,
1991,1975,civil_general,1,0,
1991,1983,family_multi_order,1,0,
1991,1983,writ_or_mandate,1,0,
1991,1985,family_multi_order,1,0,
1991,1986,probate,1,0,
1991,1986,writ_or_mandate,1,0,
1991,1987,probate,1,0,
1991,1987,small_claims,1,0,
1991,1987,unlawful_detainer,1,0,
1991,1988,family_domestic_violence,1,0,
1991,1988,small_claims,1,1,1004.28
1991,1988,unlawful_detainer,1,0,
1991,1989,family_domestic_violence,1,0,
1991,1992,civil_general,1,0,
1991,2000,family_multi_order,1,0,
1991,,unknown,1,0,
1992,1992,small_claims,8717,5179,1065.67
1992,1992,civil_general,2809,230,1878.57
1992,1991,civil_general,2269,4,53605.72
1992,1991,small_claims,1510,911,1028.00
1992,1990,civil_general,928,0,
1992,1989,civil_general,455,1,1150895.01
1992,1992,family_multi_order,319,0,
1992,1987,civil_general,296,0,
1992,1991,family_multi_order,274,0,
1992,1988,civil_general,261,0,
1992,1992,unlawful_detainer,228,18,4258.50
1992,1990,family_multi_order,164,0,
1992,1988,family_multi_order,145,0,
1992,1992,writ_or_mandate,107,18,1938.24
1992,1986,civil_general,97,0,
1992,1989,family_multi_order,85,0,
1992,1991,writ_or_mandate,63,0,
1992,1992,criminal,40,0,
1992,1985,civil_general,36,0,
1992,1987,family_multi_order,29,0,
1992,1984,civil_general,24,0,
1992,1990,small_claims,23,20,972.58
1992,1992,family_domestic_violence,15,0,
1992,1983,civil_general,13,0,
1992,1991,criminal,13,0,
1992,1990,writ_or_mandate,12,0,
1992,1990,probate,8,0,
1992,1991,appellate_review,8,0,
1992,1991,probate,8,0,
1992,1982,civil_general,6,0,
1992,1987,writ_or_mandate,6,0,
1992,1992,probate,6,0,
1992,1981,civil_general,5,0,
1992,1988,writ_or_mandate,5,0,
1992,1989,writ_or_mandate,5,0,
1992,1986,writ_or_mandate,4,0,
1992,1990,criminal,3,0,
1992,1979,civil_general,2,0,
1992,1980,civil_general,2,0,
1992,1985,writ_or_mandate,2,0,
1992,1986,family_multi_order,2,0,
1992,1988,probate,2,0,
1992,1989,family_domestic_violence,2,0,
1992,1989,probate,2,0,
1992,1992,appellate_review,2,0,
1992,2000,small_claims,2,0,
1992,2000,writ_or_mandate,2,0,
1992,1976,civil_general,1,0,
1992,1977,civil_general,1,0,
1992,1978,civil_general,1,0,
1992,1979,writ_or_mandate,1,0,
1992,1982,criminal,1,0,
1992,1984,writ_or_mandate,1,0,
1992,1986,probate,1,0,
1992,1989,small_claims,1,0,
1992,1991,unknown,1,0,
1992,2000,civil_general,1,0,
1992,2009,civil_general,1,0,
2006,2006,civil_general,5471,292,7323.26
2006,2005,civil_general,4640,354,8090.42
2006,2006,small_claims,2744,1499,1805.00
2006,2006,unlawful_detainer,1566,167,3060.00
2006,2004,civil_general,716,57,17618.48
2006,2006,criminal,704,0,
2006,2005,small_claims,614,356,1552.00
2006,2005,criminal,606,0,
2006,2005,unlawful_detainer,392,86,2400.09
2006,2006,writ_or_mandate,389,295,6056.66
2006,2006,family_multi_order,283,0,
2006,2003,civil_general,233,21,61238.29
2006,2005,family_multi_order,217,0,
2006,2004,criminal,173,0,
2006,2005,writ_or_mandate,139,66,11046.40
2006,2003,family_multi_order,126,0,
2006,2002,civil_general,102,9,50572.61
2006,2004,family_multi_order,81,0,
2006,2003,criminal,70,0,
2006,2001,civil_general,66,2,80489.67
2006,2004,unlawful_detainer,45,6,6166.50
2006,,criminal,41,0,
2006,2002,family_multi_order,39,0,
2006,2002,criminal,32,0,
2006,2004,small_claims,30,16,2876.87
2006,2001,criminal,29,0,
2006,2004,writ_or_mandate,27,10,13247.04
2006,2000,criminal,17,0,
2006,2000,civil_general,16,0,
2006,2003,unlawful_detainer,15,1,21842.85
2006,2001,family_multi_order,14,0,
2006,1996,civil_general,13,0,
2006,1998,civil_general,13,0,
2006,2000,family_multi_order,12,0,
2006,2003,small_claims,11,4,3341.25
2006,1999,civil_general,10,2,276331.62
2006,2005,probate,10,0,
2006,1994,civil_general,9,0,
2006,2001,writ_or_mandate,9,0,
2006,2004,probate,9,0,
2006,1998,family_multi_order,8,0,
2006,1999,criminal,8,0,
2006,2002,writ_or_mandate,8,0,
2006,1997,family_multi_order,7,0,
2006,1999,family_multi_order,7,0,
2006,2003,writ_or_mandate,7,0,
2006,1995,civil_general,6,0,
2006,1997,criminal,6,0,
2006,1997,writ_or_mandate,6,0,
2006,1998,writ_or_mandate,6,0,
2006,1990,family_multi_order,5,0,
2006,1994,family_multi_order,5,0,
2006,1996,criminal,5,0,
2006,1997,civil_general,5,0,
2006,2002,unlawful_detainer,5,0,
2006,1991,family_multi_order,4,0,
2006,1993,family_multi_order,4,0,
2006,1998,criminal,4,0,
2006,2001,unlawful_detainer,4,0,
2006,2006,family_domestic_violence,4,0,
2006,1993,criminal,3,0,
2006,1995,family_multi_order,3,0,
2006,2006,probate,3,0,
2006,1986,civil_general,2,0,
2006,1988,civil_general,2,0,
2006,1988,criminal,2,0,
2006,1992,family_multi_order,2,0,
2006,1993,civil_general,2,0,
