original_event_year,case_model,recorded_event_kind,selected_original_events,original_total_count,recorded_amount_but_original_missing_count,no_original_or_recorded_amount_count,recorded_only_median,recorded_only_median_event_year
1988,civil_general,renewal,1,0,1,0,191285.11,2007.0
1988,civil_general,amended_judgment,1,0,0,1,,
1988,civil_general,default_judgment,10,0,0,10,,
1988,civil_general,dismissal,4354,0,0,4354,,
1988,civil_general,judgment,330,1,0,329,,
1988,civil_general,judgment_of_dismissal,29,0,0,29,,
1988,civil_general,monetary_judgment,1,1,0,0,,
1988,civil_general,name_change_decree,264,0,0,264,,
1988,civil_general,possession,3,0,0,3,,
1988,criminal,dismissal,10,0,0,10,,
1988,family_domestic_violence,dismissal,9,0,0,9,,
1988,family_multi_order,declaratory/injunctive,1,0,0,1,,
1988,family_multi_order,default_judgment,6,0,0,6,,
1988,family_multi_order,dismissal,250,0,0,250,,
1988,family_multi_order,judgment,19,0,0,19,,
1988,probate,dismissal,36,0,0,36,,
1988,small_claims,amended_judgment,4,0,0,4,,
1988,small_claims,dismissal,14,0,0,14,,
1988,small_claims,judgment,321,1,0,320,,
1988,small_claims,monetary_judgment,14,14,0,0,,
1988,unlawful_detainer,default_judgment,1,0,0,1,,
1988,unlawful_detainer,dismissal,20,0,0,20,,
1988,unlawful_detainer,judgment,7,0,0,7,,
1988,unlawful_detainer,possession,2,0,0,2,,
1988,writ_or_mandate,dismissal,58,0,0,58,,
1988,writ_or_mandate,judgment,161,0,0,161,,
1988,writ_or_mandate,judgment_of_dismissal,3,0,0,3,,
1989,civil_general,renewal,4,0,4,0,512775.11,2013.5
1989,appellate_review,dismissal,22,0,0,22,,
1989,appellate_review,judgment,19,0,0,19,,
1989,appellate_review,monetary_judgment,1,0,0,1,,
1989,civil_general,amended_judgment,1,0,0,1,,
1989,civil_general,default_judgment,24,0,0,24,,
1989,civil_general,dismissal,4777,0,0,4777,,
1989,civil_general,judgment,328,0,0,328,,
1989,civil_general,judgment_of_dismissal,38,0,0,38,,
1989,civil_general,monetary_judgment,2,2,0,0,,
1989,civil_general,name_change_decree,245,0,0,245,,
1989,civil_general,possession,1,0,0,1,,
1989,criminal,dismissal,28,0,0,28,,
1989,family_domestic_violence,dismissal,9,0,0,9,,
1989,family_multi_order,declaratory/injunctive,1,0,0,1,,
1989,family_multi_order,default_judgment,3,0,0,3,,
1989,family_multi_order,dismissal,279,0,0,279,,
1989,family_multi_order,judgment,29,1,0,28,,
1989,probate,dismissal,19,0,0,19,,
1989,small_claims,amended_judgment,4,2,0,2,,
1989,small_claims,dismissal,14,0,0,14,,
1989,small_claims,judgment,323,0,0,323,,
1989,small_claims,monetary_judgment,41,41,0,0,,
1989,small_claims,renewal,1,1,0,0,,
1989,unlawful_detainer,dismissal,2,0,0,2,,
1989,writ_or_mandate,declaratory/injunctive,2,0,0,2,,
1989,writ_or_mandate,dismissal,49,0,0,49,,
1989,writ_or_mandate,judgment,63,0,0,63,,
1990,small_claims,monetary_judgment,202,196,6,0,1036.00,1990.5
1990,civil_general,monetary_judgment,3,0,2,1,83192.32,1996.0
1990,small_claims,take_nothing,1,0,1,0,408.00,1990.0
1990,appellate_review,dismissal,7,0,0,7,,
1990,appellate_review,judgment_of_dismissal,1,0,0,1,,
1990,civil_general,declaratory/injunctive,1,0,0,1,,
1990,civil_general,default_judgment,16,0,0,16,,
1990,civil_general,dismissal,4904,0,0,4904,,
1990,civil_general,judgment,264,0,0,264,,
1990,civil_general,judgment_of_dismissal,31,0,0,31,,
1990,civil_general,name_change_decree,249,0,0,249,,
1990,civil_general,possession,1,0,0,1,,
1990,criminal,dismissal,35,0,0,35,,
1990,family_domestic_violence,dismissal,6,0,0,6,,
1990,family_multi_order,amended_judgment,1,0,0,1,,
1990,family_multi_order,default_judgment,8,0,0,8,,
1990,family_multi_order,dismissal,679,0,0,679,,
1990,family_multi_order,judgment,60,0,0,60,,
1990,family_multi_order,judgment_of_dismissal,1,0,0,1,,
1990,probate,dismissal,32,0,0,32,,
1990,probate,judgment,1,0,0,1,,
1990,small_claims,amended_judgment,24,24,0,0,,
1990,small_claims,dismissal,25,0,0,25,,
1990,small_claims,judgment,460,0,0,460,,
1990,unlawful_detainer,dismissal,3,0,0,3,,
1990,writ_or_mandate,dismissal,72,0,0,72,,
1990,writ_or_mandate,judgment,62,0,0,62,,
1990,writ_or_mandate,judgment_of_dismissal,1,0,0,1,,
1991,small_claims,monetary_judgment,5950,5862,88,0,1083.00,1991.0
1991,small_claims,amended_judgment,103,93,5,5,1925.58,1991.0
1991,civil_general,monetary_judgment,4,0,4,0,101956.02,2002.0
1991,civil_general,renewal,1,0,1,0,304595.40,2011.0
1991,appellate_review,amended_judgment,1,0,0,1,,
1991,appellate_review,declaratory/injunctive,1,0,0,1,,
1991,appellate_review,dismissal,9,0,0,9,,
1991,civil_general,declaratory/injunctive,2,0,0,2,,
1991,civil_general,default_judgment,19,0,0,19,,
1991,civil_general,dismissal,4763,0,0,4763,,
1991,civil_general,judgment,256,0,0,256,,
1991,civil_general,judgment_of_dismissal,55,0,0,55,,
1991,civil_general,name_change_decree,253,0,0,253,,
1991,civil_general,possession,1,0,0,1,,
1991,criminal,dismissal,45,0,0,45,,
1991,family_domestic_violence,dismissal,22,0,0,22,,
1991,family_multi_order,dismissal,779,0,0,779,,
1991,family_multi_order,judgment,63,0,0,63,,
1991,family_multi_order,judgment_of_dismissal,1,0,0,1,,
1991,probate,amended_judgment,1,0,0,1,,
1991,probate,declaratory/injunctive,1,0,0,1,,
1991,probate,dismissal,24,0,0,24,,
1991,small_claims,dismissal,1648,2,0,1646,,
1991,small_claims,judgment,2095,0,0,2095,,
1991,small_claims,judgment_of_dismissal,2,0,0,2,,
1991,small_claims,possession,1,0,0,1,,
1991,small_claims,take_nothing,1,0,0,1,,
1991,unknown,judgment_of_dismissal,1,0,0,1,,
1991,unlawful_detainer,dismissal,2,0,0,2,,
1991,writ_or_mandate,amended_judgment,1,0,0,1,,
1991,writ_or_mandate,dismissal,90,0,0,90,,
1991,writ_or_mandate,judgment,66,0,0,66,,
1991,writ_or_mandate,judgment_of_dismissal,4,0,0,4,,
1991,writ_or_mandate,name_change_decree,1,0,0,1,,
1992,civil_general,monetary_judgment,592,219,373,0,2966.23,1992.0
1992,small_claims,monetary_judgment,5709,5614,95,0,1000.00,1992.0
1992,unlawful_detainer,amended_judgment,34,0,34,0,2664.48,1992.0
1992,civil_general,renewal,33,14,19,0,6303.24,2002.0
