original_event_year,case_model,original_amount_count,original_amount_median,recorded_only_supplement_count,recorded_only_supplement_median,supplemented_count,supplemented_median,supplemented_median_change_pct
1988,all,17,894.76,1,191285.11,18,937.69,4.8
1988,civil_general,2,1899.19,1,191285.11,3,3642.64,91.8
1988,criminal,0,,0,,0,,
1988,family_domestic_violence,0,,0,,0,,
1988,family_multi_order,0,,0,,0,,
1988,probate,0,,0,,0,,
1988,small_claims,15,894.76,0,,15,894.76,0.0
1988,unlawful_detainer,0,,0,,0,,
1988,writ_or_mandate,0,,0,,0,,
1989,all,47,1026.00,4,512775.11,51,1176.00,14.62
1989,appellate_review,0,,0,,0,,
1989,civil_general,2,87488.73,4,512775.11,6,249791.99,185.51
1989,criminal,0,,0,,0,,
1989,family_domestic_violence,0,,0,,0,,
1989,family_multi_order,1,46500.00,0,,1,46500.00,0.0
1989,probate,0,,0,,0,,
1989,small_claims,44,931.52,0,,44,931.52,0.0
1989,unlawful_detainer,0,,0,,0,,
1989,writ_or_mandate,0,,0,,0,,
1990,all,220,1029.50,9,1258.00,229,1031.00,0.15
1990,appellate_review,0,,0,,0,,
1990,civil_general,0,,2,83192.32,2,83192.32,
1990,criminal,0,,0,,0,,
1990,family_domestic_violence,0,,0,,0,,
1990,family_multi_order,0,,0,,0,,
1990,probate,0,,0,,0,,
1990,small_claims,220,1029.50,7,814.00,227,1028.00,-0.15
1990,unlawful_detainer,0,,0,,0,,
1990,writ_or_mandate,0,,0,,0,,
1991,all,5957,928.00,98,1179.51,6055,929.44,0.16
1991,appellate_review,0,,0,,0,,
1991,civil_general,0,,5,183160.36,5,183160.36,
1991,criminal,0,,0,,0,,
1991,family_domestic_violence,0,,0,,0,,
1991,family_multi_order,0,,0,,0,,
1991,probate,0,,0,,0,,
1991,small_claims,5957,928.00,93,1138.00,6050,928.64,0.07
1991,unknown,0,,0,,0,,
1991,unlawful_detainer,0,,0,,0,,
1991,writ_or_mandate,0,,0,,0,,
1992,all,6381,1092.61,540,2372.92,6921,1163.76,6.51
1992,appellate_review,0,,0,,0,,
1992,civil_general,235,1889.43,392,3093.04,627,2604.22,37.83
1992,criminal,0,,0,,0,,
1992,family_domestic_violence,0,,0,,0,,
1992,family_multi_order,0,,0,,0,,
1992,probate,0,,0,,0,,
1992,small_claims,6110,1050.19,103,1000.00,6213,1048.00,-0.21
1992,unknown,0,,0,,0,,
1992,unlawful_detainer,18,4258.50,45,2843.50,63,3133.50,-26.42
1992,writ_or_mandate,18,1938.24,0,,18,1938.24,0.0
1993,all,8567,1515.00,1190,3319.77,9757,1647.50,8.75
1993,appellate_review,0,,0,,0,,
1993,civil_general,2277,2943.50,873,4284.11,3150,3294.58,11.93
1993,criminal,0,,0,,0,,
1993,family_domestic_violence,0,,0,,0,,
1993,family_multi_order,0,,0,,0,,
1993,probate,0,,0,,0,,
1993,small_claims,5292,1065.39,92,905.41,5384,1058.79,-0.62
1993,unknown,0,,0,,0,,
1993,unlawful_detainer,997,1983.00,225,2215.00,1222,2000.00,0.86
1993,writ_or_mandate,1,11000.00,0,,1,11000.00,0.0
1994,all,9259,1722.00,786,3244.93,10045,1811.70,5.21
1994,appellate_review,0,,0,,0,,
1994,civil_general,3152,3248.08,441,4801.57,3593,3439.52,5.89
